event_id,year,start_date,end_date,duration_days,cluster_id,n_tiles,event_path,n_communes,communes,n_candidates_tested,n_overlap_skipped
2015-06-29---2015-07-06_cluster_None,2015,2015-06-29,2015-07-06,7,,3,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-29---2015-07-06_duration_7_days_cluster_141_A0_000001_A_000001_lat_03618_lon_-0579_size_0005.tif,1,Le Croisic,752,264
2015-06-29---2015-07-20_cluster_None,2015,2015-06-29,2015-07-20,21,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-29---2015-07-20_duration_21_days_cluster_144_A0_000014_A_000017_lat_05175_lon_00130_size_0046.tif,0,,234,597
2015-07-06---2015-07-13_cluster_None,2015,2015-07-06,2015-07-13,7,,5,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-06---2015-07-13_duration_7_days_cluster_148_A0_000019_A_000038_lat_03706_lon_-0773_size_0017.tif,0,,5859,3089
2015-07-13---2015-07-20_cluster_None,2015,2015-07-13,2015-07-20,7,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-13---2015-07-20_duration_7_days_cluster_155_A0_000006_A_000007_lat_04871_lon_-0384_size_0023.tif,0,,752,264
2015-07-20---2015-07-27_cluster_None,2015,2015-07-20,2015-07-27,7,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-20---2015-07-27_duration_7_days_cluster_159_A0_000008_A_000010_lat_05082_lon_-0112_size_0009.tif,0,,0,244
2015-07-27---2015-08-03_cluster_None,2015,2015-07-27,2015-08-03,7,,8,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-27---2015-08-03_duration_7_days_cluster_164_A0_000001_A_000001_lat_06502_lon_-2179_size_0028.tif,0,,303,846
2015-08-03---2015-08-10_cluster_None,2015,2015-08-03,2015-08-10,7,,4,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-08-03---2015-08-10_duration_7_days_cluster_172_A0_000003_A_000003_lat_03888_lon_-0124_size_0012.tif,0,,0,244
2015-08-10---2015-08-17_cluster_None,2015,2015-08-10,2015-08-17,7,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-08-10---2015-08-17_duration_7_days_cluster_180_A0_000001_A_000001_lat_03479_lon_01124_size_0002.tif,0,,0,0
2015-08-10---2015-08-31_cluster_None,2015,2015-08-10,2015-08-31,21,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-08-10---2015-08-31_duration_21_days_cluster_179_A0_000004_A_000006_lat_05185_lon_00269_size_0103.tif,0,,234,597
2015-08-24---2015-08-31_cluster_None,2015,2015-08-24,2015-08-31,7,,8,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-08-24---2015-08-31_duration_7_days_cluster_189_A0_000003_A_000003_lat_03703_lon_-0624_size_0004.tif,0,,360,9
2015-08-31---2015-09-07_cluster_None,2015,2015-08-31,2015-09-07,7,,3,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-08-31---2015-09-07_duration_7_days_cluster_202_A0_000007_A_000009_lat_04755_lon_-0271_size_0009.tif,1,Billiers,752,264
2015-09-07---2015-09-14_cluster_None,2015,2015-09-07,2015-09-14,7,,5,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-09-07---2015-09-14_duration_7_days_cluster_207_A0_000009_A_000011_lat_04040_lon_-0435_size_0112.tif,0,,0,244
2015-09-14---2015-09-21_cluster_None,2015,2015-09-14,2015-09-21,7,,11,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-09-14---2015-09-21_duration_7_days_cluster_213_A0_000001_A_000001_lat_03690_lon_-0614_size_0016.tif,0,,986,861
2015-09-28---2015-10-12_cluster_None,2015,2015-09-28,2015-10-12,14,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-09-28---2015-10-12_duration_14_days_cluster_226_A0_000004_A_000005_lat_04874_lon_-0367_size_0009.tif,0,,752,264
2015-10-05---2015-10-12_cluster_None,2015,2015-10-05,2015-10-12,7,,3,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-10-05---2015-10-12_duration_7_days_cluster_236_A0_000005_A_000007_lat_05082_lon_-0108_size_0005.tif,0,,0,244
2015-10-12---2015-10-19_cluster_None,2015,2015-10-12,2015-10-19,7,,6,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-10-12---2015-10-19_duration_7_days_cluster_241_A0_000001_A_000001_lat_04609_lon_-0075_size_0051.tif,0,,4100,1715
2015-10-12---2015-10-26_cluster_None,2015,2015-10-12,2015-10-26,14,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-10-12---2015-10-26_duration_14_days_cluster_242_A0_000016_A_000019_lat_05107_lon_-0056_size_0054.tif,0,,234,3817
2015-10-19---2015-10-26_cluster_None,2015,2015-10-19,2015-10-26,7,,2,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-10-19---2015-10-26_duration_7_days_cluster_249_A0_000001_A_000002_lat_04150_lon_01569_size_0015.tif,0,,0,0
2015-10-26---2015-11-02_cluster_None,2015,2015-10-26,2015-11-02,7,,8,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-10-26---2015-11-02_duration_7_days_cluster_252_A0_000001_A_000002_lat_05172_lon_-0493_size_0005.tif,0,,7498,2199
2015-10-26---2015-11-09_cluster_None,2015,2015-10-26,2015-11-09,14,,3,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-10-26---2015-11-09_duration_14_days_cluster_251_A0_000064_A_000071_lat_03743_lon_-0623_size_0035.tif,0,,4100,1715
2015-11-09---2016-01-04_cluster_None,2015,2015-11-09,2016-01-04,56,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-11-09---2016-01-04_duration_56_days_cluster_343_A0_000186_A_000219_lat_05482_lon_00605_size_0290.tif,0,,234,4059
2015-11-16---2015-11-30_cluster_None,2015,2015-11-16,2015-11-30,14,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-11-16---2015-11-30_duration_14_days_cluster_275_A0_000003_A_000004_lat_04833_lon_-0346_size_0055.tif,0,,752,264
2015-11-23---2015-11-30_cluster_None,2015,2015-11-23,2015-11-30,7,,6,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-11-23---2015-11-30_duration_7_days_cluster_284_A0_000006_A_000006_lat_03539_lon_-0599_size_0027.tif,0,,69,249
2015-11-23---2015-12-21_cluster_None,2015,2015-11-23,2015-12-21,28,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-11-23---2015-12-21_duration_28_days_cluster_286_A0_000030_A_000033_lat_03957_lon_-0024_size_0035.tif,1,Labenne,815,1975
2015-11-23---2016-01-04_cluster_None,2015,2015-11-23,2016-01-04,42,,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-11-23---2016-01-04_duration_42_days_cluster_344_A0_000799_A_000977_lat_05363_lon_-0629_size_0175.tif,8,Appeville; Carentan-les-Marais; Graignes-Mesnil-Angot; Liesville-sur-Douve; Méautis; Saint-André-de-Bohon; Tribehou; Varenguebec,12226,6171
2015-12-14---2015-12-21_cluster_None,2015,2015-12-14,2015-12-21,7,,10,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-12-14---2015-12-21_duration_7_days_cluster_306_A0_000017_A_000030_lat_04070_lon_-0866_size_0003.tif,2,Liesville-sur-Douve; Varenguebec,3931,1930
2015-12-21---2015-12-28_cluster_None,2015,2015-12-21,2015-12-28,7,,7,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-12-21---2015-12-28_duration_7_days_cluster_318_A0_000001_A_000001_lat_04869_lon_-0377_size_0019.tif,0,,752,264
