cod_commune;lib_commune;dat_publi_dicrim
94034;Fresnes;2000-01-01 01:00:00
94044;Limeil-Brévannes;2000-01-01 01:00:00
94070;Santeny;2000-01-01 01:00:00
95018;Argenteuil;2000-01-01 01:00:00
95026;Asnières-sur-Oise;2000-01-01 01:00:00
95039;Auvers-sur-Oise;2000-01-01 01:00:00
95052;Beaumont-sur-Oise;2000-01-01 01:00:00
95058;Bernes-sur-Oise;2000-01-01 01:00:00
95060;Bessancourt;2000-01-01 01:00:00
95063;Bezons;2000-01-01 01:00:00
95074;Boisemont;2000-01-01 01:00:00
95078;Boissy-l'Aillerie;2000-01-01 01:00:00
95119;Buhy;2000-01-01 01:00:00
95134;Champagne-sur-Oise;2000-01-01 01:00:00
95142;Chars;2000-01-01 01:00:00
95183;Courdimanche;2000-01-01 01:00:00
95218;Éragny;2000-01-01 01:00:00
95257;La Frette-sur-Seine;2000-01-01 01:00:00
95288;Groslay;2000-01-01 01:00:00
95301;Haute-Isle;2000-01-01 01:00:00
95313;L'Isle-Adam;2000-01-01 01:00:00
95323;Jouy-le-Moutier;2000-01-01 01:00:00
95353;Maffliers;2000-01-01 01:00:00
95355;Magny-en-Vexin;2000-01-01 01:00:00
95428;Montmorency;2000-01-01 01:00:00
95430;Montsoult;2000-01-01 01:00:00
95436;Mours;2000-01-01 01:00:00
95450;Neuville-sur-Oise;2000-01-01 01:00:00
95456;Noisy-sur-Oise;2000-01-01 01:00:00
95476;Osny;2000-01-01 01:00:00
95488;Pierrelaye;2000-01-01 01:00:00
95554;Saint-Gervais;2000-01-01 01:00:00
95572;Saint-Ouen-l'Aumône;2000-01-01 01:00:00
68229;Murbach;2015-01-01 01:00:00
42161;Notre-Dame-de-Boisset;2010-01-01 01:00:00
19106;Lapleau;2010-01-01 01:00:00
67538;Wingen-sur-Moder;2011-01-01 01:00:00
69162;Quincié-en-Beaujolais;2011-01-01 01:00:00
27194;Cuverville;2010-01-01 01:00:00
67453;Schœnau;2011-01-01 01:00:00
27385;Manneville-sur-Risle;2010-01-01 01:00:00
72201;Moncé-en-Saosnois;2011-01-01 01:00:00
36107;Lye;2011-01-01 01:00:00
27681;Vernon;2010-01-01 01:00:00
27295;Grand-Camp;2010-01-01 01:00:00
67283;Marmoutier;2010-01-01 01:00:00
57201;Etting;2011-01-01 01:00:00
27174;Corneville-sur-Risle;2010-01-01 01:00:00
31515;Saint-Rustice;2010-01-01 01:00:00
27471;Porte-de-Seine;2010-01-01 01:00:00
27213;Vexin-sur-Epte;2010-01-01 01:00:00
79308;Sciecq;2010-01-01 01:00:00
67131;Eschau;2011-01-01 01:00:00
73103;Drumettaz-Clarafond;2011-01-01 01:00:00
27189;La Croisille;2010-01-01 01:00:00
60102;Brenouille;2010-01-01 01:00:00
24294;Montpon-Ménestérol;2010-01-01 01:00:00
67249;Krautwiller;2010-01-01 01:00:00
21496;Pontailler-sur-Saône;2011-01-01 01:00:00
56246;Le Sourn;2011-01-01 01:00:00
72090;Connerré;2010-01-01 01:00:00
35054;Chanteloup;2011-01-01 01:00:00
67086;Daubensand;2011-01-01 01:00:00
27323;La Haye-Saint-Sylvestre;2010-01-01 01:00:00
77466;Tigeaux;2011-01-01 01:00:00
49113;Courchamps;2011-01-01 01:00:00
79202;Parthenay;2011-01-01 01:00:00
31308;Luscan;2011-01-01 01:00:00
40002;Amou;2011-01-01 01:00:00
67454;Schœnbourg;2011-01-01 01:00:00
21639;Tillenay;2011-01-01 01:00:00
45254;Poilly-lez-Gien;2010-01-01 01:00:00
95604;Survilliers;2000-01-01 01:00:00
95627;Vallangoujard;2000-01-01 01:00:00
95628;Valmondois;2000-01-01 01:00:00
95637;Vauréal;2000-01-01 01:00:00
95680;Villiers-le-Bel;2000-01-01 01:00:00
21205;Courcelles-lès-Semur;2000-01-01 01:00:00
21258;Étrochey;2000-01-01 01:00:00
21290;Gemeaux;2000-01-01 01:00:00
21300;Gissey-sur-Ouche;2000-01-01 01:00:00
21406;Mesmont;2000-01-01 01:00:00
21420;Molinot;2000-01-01 01:00:00
21464;Nuits-Saint-Georges;2000-01-01 01:00:00
21506;Premeaux-Prissey;2000-01-01 01:00:00
89235;Magny;2011-01-01 01:00:00
85066;Chavagnes-les-Redoux;2010-01-01 01:00:00
67226;Ittenheim;2011-01-01 01:00:00
31123;Castillon-de-Larboust;2011-01-01 01:00:00
89169;Flogny-la-Chapelle;2011-01-01 01:00:00
27095;Bosrobert;2010-01-01 01:00:00
71176;Digoin;2011-01-01 01:00:00
67049;Blaesheim;2011-01-01 01:00:00
27622;Serquigny;2010-01-01 01:00:00
55229;Han-sur-Meuse;2010-01-01 01:00:00
66066;Enveitg;2010-01-01 01:00:00
44055;La Baule-Escoublac;2011-01-01 01:00:00
60542;Rochy-Condé;2010-01-01 01:00:00
74040;Bonne;2011-01-01 01:00:00
67117;Eckartswiller;2011-01-01 01:00:00
45144;Férolles;2011-01-01 01:00:00
60603;Salency;2010-01-01 01:00:00
66049;Céret;2010-01-01 01:00:00
86300;Yversay;2011-01-01 01:00:00
66002;Alénya;2010-01-01 01:00:00
27057;Bernienville;2010-01-01 01:00:00
22209;Beaussais-sur-Mer;2011-01-01 01:00:00
72175;Luché-Pringé;2010-01-01 01:00:00
55089;Burey-la-Côte;2010-01-01 01:00:00
73261;Saint-Michel-de-Maurienne;2010-01-01 01:00:00
21390;Marsannay-la-Côte;2010-01-01 01:00:00
48090;Le Malzieu-Ville;2010-01-01 01:00:00
38253;Les Deux Alpes;2010-01-01 01:00:00
36062;Cuzion;2011-01-01 01:00:00
67105;Drulingen;2011-01-01 01:00:00
60041;Bailleul-sur-Thérain;2010-01-01 01:00:00
77388;Reuil-en-Brie;2011-01-01 01:00:00
02237;Crécy-sur-Serre;2011-01-01 01:00:00
77246;Léchelle;2010-01-01 01:00:00
67464;Sermersheim;2011-01-01 01:00:00
69013;Arnas;2011-01-01 01:00:00
27410;Miserey;2010-01-01 01:00:00
27028;Authou;2010-01-01 01:00:00
69191;Saint-Cyr-au-Mont-d'Or;2011-01-01 01:00:00
67047;Bissert;2011-01-01 01:00:00
27210;Écardenville-la-Campagne;2010-01-01 01:00:00
15080;Joursac;2011-01-01 01:00:00
55268;Lacroix-sur-Meuse;2010-01-01 01:00:00
50152;Les Cresnays;2010-01-01 01:00:00
33262;Macau;2011-01-01 01:00:00
57357;Kappelkinger;2010-01-01 01:00:00
40082;Classun;2011-01-01 01:00:00
39097;Champagnole;2010-01-01 01:00:00
86099;Fleuré;2011-01-01 01:00:00
38276;Nivolas-Vermelle;2010-01-01 01:00:00
66196;Sorède;2010-01-01 01:00:00
67492;Traenheim;2010-01-01 01:00:00
27392;Martagny;2010-01-01 01:00:00
67401;Rimsdorf;2011-01-01 01:00:00
97112;Grand-Bourg;2010-01-01 01:00:00
21570;Sainte-Sabine;2000-01-01 01:00:00
64110;Béost;2010-01-01 01:00:00
48002;Albaret-Sainte-Marie;2010-01-01 01:00:00
77096;Chartrettes;2011-01-01 01:00:00
82168;Saint-Nazaire-de-Valentane;2011-01-01 01:00:00
77188;Fontaine-le-Port;2011-01-01 01:00:00
27568;Sainte-Marthe;2010-01-01 01:00:00
67272;Lochwiller;2011-01-01 01:00:00
16008;Ambérac;2010-01-01 01:00:00
86046;Cenon-sur-Vienne;2011-01-01 01:00:00
67027;Belmont;2011-01-01 01:00:00
79300;Sainte-Verge;2011-01-01 01:00:00
67313;Mutzig;2011-01-01 01:00:00
44213;Loireauxence;2010-01-01 01:00:00
67166;Grassendorf;2011-01-01 01:00:00
77125;Condé-Sainte-Libiaire;2010-01-01 01:00:00
85167;L'Orbrie;2011-01-01 01:00:00
66225;Villelongue-dels-Monts;2011-01-01 01:00:00
67075;Climbach;2010-01-01 01:00:00
67201;Hirschland;2011-01-01 01:00:00
72080;Cherré-Au;2010-01-01 01:00:00
67293;Minversheim;2011-01-01 01:00:00
43234;Saugues;2011-01-01 01:00:00
16415;Vindelle;2010-01-01 01:00:00
85035;Bretignolles-sur-Mer;2011-01-01 01:00:00
77232;Isles-lès-Villenoy;2010-01-01 01:00:00
31394;Moustajon;2011-01-01 01:00:00
80021;Amiens;2010-01-01 01:00:00
64141;Boueilh-Boueilho-Lasque;2010-01-01 01:00:00
77397;Saâcy-sur-Marne;2011-01-01 01:00:00
27372;Longchamps;2010-01-01 01:00:00
74160;Manigod;2011-01-01 01:00:00
40021;Azur;2011-01-01 01:00:00
66020;Bolquère;2011-01-01 01:00:00
67137;Fegersheim;2011-01-01 01:00:00
55264;Kœur-la-Petite;2010-01-01 01:00:00
57012;Algrange;2010-01-01 01:00:00
73049;Bonvillaret;2010-01-01 01:00:00
56207;Saint-Barthélemy;2011-01-01 01:00:00
73150;La Plagne Tarentaise;2010-01-01 01:00:00
31281;Launac;2011-01-01 01:00:00
72355;Thoiré-sous-Contensor;2011-01-01 01:00:00
36142;Niherne;2010-01-01 01:00:00
60023;Armancourt;2011-01-01 01:00:00
73082;La Chavanne;2010-01-01 01:00:00
40031;Bégaar;2010-01-01 01:00:00
57372;Kuntzig;2010-01-01 01:00:00
66218;Ur;2010-01-01 01:00:00
76158;Canville-les-Deux-Églises;2020-12-31 01:00:00
67339;Betschdorf;2010-01-01 01:00:00
40314;Tercis-les-Bains;2011-01-01 01:00:00
27169;Conteville;2010-01-01 01:00:00
67473;Soultz-les-Bains;2011-01-01 01:00:00
40080;Cazères-sur-l'Adour;2010-01-01 01:00:00
40225;Philondenx;2011-01-01 01:00:00
27256;La Forêt-du-Parc;2010-01-01 01:00:00
27459;Les Places;2010-01-01 01:00:00
