cod_commune;lib_commune;dat_transmission_tim
05009;Aspres-lès-Corps;2000-12-11 01:00:00
26325;Saint-Rambert-d'Albon;2000-07-12 02:00:00
38545;Vif;2000-07-10 02:00:00
84049;Gigondas;2000-02-08 01:00:00
05011;Avançon;2000-12-11 01:00:00
16078;Champniers;2001-03-08 01:00:00
57517;Obergailbach;2001-07-17 02:00:00
51573;Tinqueux;2001-03-07 01:00:00
17034;Barzan;2000-11-13 01:00:00
46182;Luzech;2000-02-07 01:00:00
24064;Brantôme en Périgord;2000-03-30 02:00:00
97406;La Plaine-des-Palmistes;2001-04-26 02:00:00
41276;Villebarou;2001-06-22 02:00:00
54559;Velle-sur-Moselle;2001-11-15 01:00:00
97215;Macouba;2001-11-14 01:00:00
09061;Les Bordes-sur-Arize;2000-02-03 01:00:00
60119;Cambronne-lès-Ribécourt;2000-01-11 01:00:00
68156;Issenheim;2001-05-29 02:00:00
54073;Bicqueley;2001-01-24 01:00:00
54525;Tiercelet;2000-08-30 02:00:00
01142;Dagneux;2001-06-22 02:00:00
57615;Saint-Jean-Rohrbach;2001-05-03 02:00:00
38538;Le Versoud;2000-07-10 02:00:00
68292;Saint-Amarin;2001-04-09 02:00:00
11105;Cournanel;2000-02-22 01:00:00
68303;Schwoben;2000-01-17 01:00:00
54426;Pierre-la-Treiche;2001-01-24 01:00:00
37126;Lerné;2000-02-08 01:00:00
57741;Walschbronn;2001-06-05 02:00:00
83036;Cavalaire-sur-Mer;2000-05-10 02:00:00
95058;Bernes-sur-Oise;2000-11-29 01:00:00
24102;Chancelade;2001-02-07 01:00:00
95353;Maffliers;2000-11-29 01:00:00
57330;Holving;2001-03-22 01:00:00
05145;Saint-Jean-Saint-Nicolas;2000-05-16 02:00:00
09029;Aulus-les-Bains;2000-03-30 02:00:00
54199;Flin;2001-01-24 01:00:00
13102;Saint-Victoret;2000-10-16 02:00:00
11021;Axat;2000-02-04 01:00:00
42268;Vézelin-sur-Loire;2000-05-25 02:00:00
54591;Voinémont;2001-01-24 01:00:00
57344;Imling;2001-03-22 01:00:00
57592;Romelfing;2000-03-22 01:00:00
66136;Perpignan;2000-03-27 02:00:00
95074;Boisemont;2000-11-29 01:00:00
17329;Saint-Froult;2001-02-14 01:00:00
95091;Bouffémont;2001-10-25 02:00:00
57693;Vantoux;2001-10-11 02:00:00
17151;L'Éguille;2001-01-15 01:00:00
68158;Jettingen;2000-01-17 01:00:00
38058;Brézins;2001-06-22 02:00:00
09157;Laroque-d'Olmes;2000-06-13 02:00:00
09240;Quié;2000-06-13 02:00:00
17028;Aytré;2001-03-20 01:00:00
57273;Guerstling;2001-03-14 01:00:00
33552;Virelade;2001-02-07 01:00:00
94070;Santeny;2000-12-29 01:00:00
68279;Roderen;2000-01-17 01:00:00
67422;Saasenheim;2000-05-26 02:00:00
84064;Lapalud;2001-09-15 02:00:00
68222;Muespach-le-Haut;2000-01-17 01:00:00
17325;Saint-Dizant-du-Gua;2000-11-13 01:00:00
68280;Rodern;2000-01-17 01:00:00
97219;Le Prêcheur;2001-02-01 01:00:00
84063;Lamotte-du-Rhône;2001-09-15 02:00:00
21258;Étrochey;2000-05-24 02:00:00
68079;Elbach;2000-01-17 01:00:00
33120;Cérons;2001-02-07 01:00:00
