CODE MODELE;LIBELLE MODELE;CODE PROECEDURE;LIBELLE PROCEDURE;LIBELLE ORGANISME;BASSIN RISQUE;BASSINS HYDROGRAPHIQUES;COURS EAU;CODE INSEE REGION;NOM REGION;CODE INSEE DEPARTEMENT;NOM DEPARTEMENT;CODE INSEE COMMUNE;NOM COMMUNE;CODE RISQUE 1;LIBELLE RISQUE 1;CODE RISQUE 2;LIBELLE RISQUE 2;CODE RISQUE 2;LIBELLE RISQUE 3;PROCEDURE REVISANTE;CODES REVISES;PROCEDURE REVISEE;CODES REVISANTS;PRESCRIPTION;ENQUETE_PUBL_DEBUT;ENQUETE_PUBL_FIN;ANNEX_PLU;DEPRESCRIPTION;APPROBATION;ANNULATION;ABROGATION;LIBELLE ETAT;DATE ETAT;LIBELLE SOUS-ETAT;DATE SOUS-ETAT;DATE DERNIERE MISE A JOUR
PPRT;Plan de Prévention des Risques Technologiques;62DREAL20140009;PPRT ARC INTERNATIONAL;Direction régionale de l'environnement, de l'aménagement et du logement;;;;32;HAUTS-DE-FRANCE;62;PAS-DE-CALAIS;62040;Arques;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2016-06-29;;;;;;;;Prescrit;2020-01-01;Prescrit;2020-01-01;2016-06-29
PPRT;Plan de Prévention des Risques Technologiques;31DREAL20090002; PPRT - ARKEMA;Direction régionale de l'environnement, de l'aménagement et du logement;PPRT ARKEMA;;;76;OCCITANIE;65;HAUTES-PYRENEES;65127;Capvern;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2006-08-04;2008-06-16;2008-07-15;;;2008-10-29;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;69DDT20200002;Vallée de la chimie;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;69;RHONE;69260;Vernaison;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2015-04-21;;;;;2016-10-19;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-10
PPRT;Plan de Prévention des Risques Technologiques;49DDT20130001;PPRT EPC France St Crespin/Moine;Direction départementale des territoires;;;;52;PAYS DE LA LOIRE;49;MAINE-ET-LOIRE;49301;Sèvremoine;20;Risque technologique;21;Risque industriel;213;Effet toxique;FAUX;;FAUX;;2007-09-25;2013-06-18;2013-07-19;;;2013-10-28;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-04
PPRT;Plan de Prévention des Risques Technologiques;13DREAL20110044;PPRT - Stogaz 2015;Direction régionale de l'environnement, de l'aménagement et du logement;;;;93;PROVENCE-ALPES-COTE D'AZUR;13;BOUCHES-DU-RHONE;13054;Marignane;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2015-02-12;2016-03-22;2016-04-26;;;2016-07-27;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
PPRT;Plan de Prévention des Risques Technologiques;58DREAL20140003;Ardi;Direction régionale de l'environnement, de l'aménagement et du logement;Ardi (58);;;27;BOURGOGNE-FRANCHE-COMTE;58;NIEVRE;58122;Garchy;20;Risque technologique;21;Risque industriel;211;Effet thermique;FAUX;;FAUX;;2009-09-28;;;;;2010-12-28;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-27
PPRT;Plan de Prévention des Risques Technologiques;56DDTM20140001;PPRT militaire de Coëtquidan;Direction départementale des territoires et de la mer;;;;53;BRETAGNE;56;MORBIHAN;56012;Beignon;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2012-04-18;2014-01-08;2014-02-12;;;2014-07-16;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-03-31
PPRT;Plan de Prévention des Risques Technologiques;95DDT20130002;95-60-27 PPRT STORENGY;Direction départementale des territoires;;;;11;ILE-DE-FRANCE;95;VAL-D'OISE;27445;Noyers;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2010-10-08;2013-05-30;2013-06-29;;;2013-12-13;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-04
PPRT;Plan de Prévention des Risques Technologiques;69DDT20200002;Vallée de la chimie;Direction départementale des territoires;;;;84;AUVERGNE-RHONE-ALPES;69;RHONE;69123;Lyon;20;Risque technologique;21;Risque industriel;213;Effet toxique;FAUX;;FAUX;;2015-04-21;;;;;2016-10-19;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-10
PPRT;Plan de Prévention des Risques Technologiques;95DRIEE_IF20190002;TOTAL;Direction Régionale et Interdépartementale de l'Environnement et de l'Énergie d'Ile-de-France;;;;11;ILE-DE-FRANCE;95;VAL-D'OISE;95018;Argenteuil;20;Risque technologique;21;Risque industriel;212;Effet de surpression;FAUX;;FAUX;;2010-04-29;;;;;2013-04-11;;;Opposable;2020-01-01;Approuvé;2020-01-01;2025-04-09
