jrc_event_id,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments
WD_MERGE_2019-01-21---2019-02-25_duration_28_days_cluster_027_A0_000234_A_000293_lat_04921_lon_00044_size_0162,2019-01-21,2019-02-25,588,25,25
WD_MERGE_2019-01-28---2019-02-11_duration_14_days_cluster_035_A0_000004_A_000006_lat_04368_lon_00444_size_0026,2019-01-28,2019-02-11,23,6,6
WD_MERGE_2019-02-18---2019-02-25_duration_7_days_cluster_058_A0_000018_A_000023_lat_04784_lon_-0277_size_0040,2019-02-18,2019-02-25,60,3,3
WD_MERGE_2019-03-04---2019-04-08_duration_28_days_cluster_333_A0_000653_A_000885_lat_05154_lon_00036_size_0450,2019-03-04,2019-04-08,748,26,26
WD_MERGE_2019-04-01---2019-04-08_duration_7_days_cluster_084_A0_000011_A_000014_lat_04962_lon_-0311_size_0106,2019-04-01,2019-04-08,15,2,2
WD_MERGE_2019-04-01---2019-04-22_duration_21_days_cluster_085_A0_000034_A_000040_lat_04370_lon_00477_size_0028,2019-04-01,2019-04-22,46,6,6
WD_MERGE_2019-04-22---2019-04-29_duration_7_days_cluster_111_A0_000004_A_000004_lat_04865_lon_-0374_size_0022,2019-04-22,2019-04-29,26,2,2
WD_MERGE_2019-05-13---2019-05-20_duration_7_days_cluster_123_A0_000002_A_000003_lat_04682_lon_-0197_size_0004,2019-05-13,2019-05-20,8,1,1
WD_MERGE_2019-06-03---2019-06-10_duration_7_days_cluster_138_A0_000003_A_000004_lat_04967_lon_-0434_size_0154,2019-06-03,2019-06-10,37,2,2
WD_MERGE_2019-06-17---2019-06-24_duration_7_days_cluster_151_A0_000001_A_000002_lat_04796_lon_-0387_size_0049,2019-06-17,2019-06-24,16,2,2
WD_MERGE_2019-06-17---2019-07-01_duration_14_days_cluster_153_A0_000017_A_000020_lat_04356_lon_00459_size_0016,2019-06-17,2019-07-01,13,3,3
WD_MERGE_2019-07-01---2019-07-08_duration_7_days_cluster_164_A0_000009_A_000010_lat_04874_lon_-0374_size_0015,2019-07-01,2019-07-08,15,2,2
WD_MERGE_2019-07-29---2019-08-05_duration_7_days_cluster_195_A0_000004_A_000005_lat_04946_lon_-0135_size_0019,2019-07-29,2019-08-05,11,2,2
WD_MERGE_2019-08-05---2019-08-12_duration_7_days_cluster_204_A0_000002_A_000003_lat_04351_lon_00462_size_0016,2019-08-05,2019-08-12,5,3,3
WD_MERGE_2019-09-02---2019-09-09_duration_7_days_cluster_222_A0_000004_A_000005_lat_04779_lon_-0350_size_0074,2019-09-02,2019-09-09,48,4,4
WD_MERGE_2019-09-16---2019-09-23_duration_7_days_cluster_235_A0_000014_A_000017_lat_05028_lon_01037_size_0108,2019-09-16,2019-09-23,7,4,4
WD_MERGE_2020-01-27---2020-02-03_duration_7_days_cluster_027_A0_000003_A_000003_lat_04354_lon_00457_size_0017,2020-01-27,2020-02-03,11,4,4
WD_MERGE_2020-01-27---2020-03-02_duration_35_days_cluster_025_A0_000088_A_000101_lat_04035_lon_00016_size_0085,2020-01-27,2020-03-02,4,2,2
WD_MERGE_2020-02-10---2020-03-30_duration_42_days_cluster_377_A0_000631_A_000741_lat_05520_lon_01131_size_0260,2020-02-10,2020-03-30,41,5,5
WD_MERGE_2020-03-23---2020-03-30_duration_7_days_cluster_066_A0_000006_A_000006_lat_04527_lon_00766_size_0088,2020-03-23,2020-03-30,21,3,3
WD_MERGE_2020-08-10---2020-08-17_duration_7_days_cluster_216_A0_000001_A_000001_lat_04348_lon_00458_size_0015,2020-08-10,2020-08-17,3,2,2
WD_MERGE_2020-08-31---2020-09-07_duration_7_days_cluster_238_A0_000001_A_000002_lat_05095_lon_00606_size_0031,2020-08-31,2020-09-07,4,1,1
WD_MERGE_2020-09-28---2020-10-05_duration_7_days_cluster_271_A0_000002_A_000003_lat_04766_lon_-0292_size_0018,2020-09-28,2020-10-05,20,1,1
WD_MERGE_2021-03-08---2021-03-15_duration_7_days_cluster_054_A0_000011_A_000015_lat_04732_lon_-0191_size_0017,2021-03-08,2021-03-15,33,2,2
WD_MERGE_2021-03-15---2021-04-05_duration_21_days_cluster_059_A0_000151_A_000196_lat_05239_lon_-0164_size_0179,2021-03-15,2021-04-05,64,7,7
WD_MERGE_2021-04-12---2021-04-19_duration_7_days_cluster_074_A0_000004_A_000004_lat_04879_lon_-0358_size_0003,2021-04-12,2021-04-19,14,2,2
WD_MERGE_2021-04-19---2021-04-26_duration_7_days_cluster_079_A0_000020_A_000022_lat_04369_lon_00456_size_0017,2021-04-19,2021-04-26,40,4,4
WD_MERGE_2021-06-14---2021-06-21_duration_7_days_cluster_125_A0_000018_A_000021_lat_04360_lon_00455_size_0011,2021-06-14,2021-06-21,14,3,3
WD_MERGE_2021-07-26---2021-08-02_duration_7_days_cluster_179_A0_000002_A_000002_lat_04476_lon_-0075_size_0013,2021-07-26,2021-08-02,7,2,2
WD_MERGE_2021-08-23---2021-08-30_duration_7_days_cluster_205_A0_000003_A_000004_lat_04803_lon_-0220_size_0091,2021-08-23,2021-08-30,32,8,8
WD_MERGE_2021-09-06---2021-09-13_duration_7_days_cluster_216_A0_000001_A_000001_lat_04644_lon_00372_size_0036,2021-09-06,2021-09-13,8,3,3
WD_MERGE_2021-09-27---2021-10-04_duration_7_days_cluster_240_A0_000002_A_000003_lat_04427_lon_-0087_size_0014,2021-09-27,2021-10-04,9,2,2
WD_MERGE_2021-10-04---2021-10-11_duration_7_days_cluster_252_A0_000001_A_000001_lat_04603_lon_00504_size_0009,2021-10-04,2021-10-11,14,2,2
WD_MERGE_2021-11-15---2021-11-22_duration_7_days_cluster_302_A0_000004_A_000004_lat_04877_lon_-0362_size_0006,2021-11-15,2021-11-22,10,2,2
WD_MERGE_2022-03-14---2022-03-21_duration_7_days_cluster_038_A0_000008_A_000009_lat_04823_lon_-0321_size_0070,2022-03-14,2022-03-21,37,5,5
WD_MERGE_2022-04-18---2022-05-02_duration_14_days_cluster_079_A0_000044_A_000048_lat_04421_lon_00714_size_0233,2022-04-18,2022-05-02,35,5,5
WD_MERGE_2022-06-06---2022-06-27_duration_21_days_cluster_120_A0_000022_A_000025_lat_04359_lon_00454_size_0012,2022-06-06,2022-06-27,21,4,4
WD_MERGE_2022-10-24---2022-10-31_duration_7_days_cluster_262_A0_000005_A_000007_lat_04737_lon_-0191_size_0009,2022-10-24,2022-10-31,15,3,3
WD_MERGE_2022-11-14---2023-01-02_duration_35_days_cluster_279_A0_000374_A_000443_lat_03940_lon_-0724_size_0151,2022-11-14,2023-01-02,29,2,2
WD_MERGE_2022-12-19---2022-12-26_duration_7_days_cluster_318_A0_000018_A_000024_lat_04722_lon_00485_size_0096,2022-12-19,2022-12-26,102,10,10
WD_MERGE_2022-12-19---2023-01-02_duration_14_days_cluster_320_A0_000013_A_000017_lat_04968_lon_00834_size_0171,2022-12-19,2023-01-02,57,4,4
WD_MERGE_2023-02-06---2023-02-13_duration_7_days_cluster_015_A0_000008_A_000009_lat_04650_lon_00060_size_0145,2023-02-06,2023-02-13,64,8,8
WD_MERGE_2023-03-13---2023-05-01_duration_49_days_cluster_331_A0_000343_A_000408_lat_05536_lon_01477_size_0370,2023-03-13,2023-05-01,29,3,3
WD_MERGE_2023-06-05---2023-06-12_duration_7_days_cluster_123_A0_000006_A_000007_lat_04877_lon_-0362_size_0005,2023-06-05,2023-06-12,18,2,2
WD_MERGE_2023-07-03---2023-07-10_duration_7_days_cluster_157_A0_000001_A_000002_lat_04873_lon_-0370_size_0013,2023-07-03,2023-07-10,15,2,2
WD_MERGE_2023-08-14---2023-08-21_duration_7_days_cluster_212_A0_000004_A_000004_lat_04877_lon_-0365_size_0007,2023-08-14,2023-08-21,10,2,2
