gaspar_event_uid,cod_nat_catnat,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments
INTE2204344A__20210908__20210908,INTE2204344A,2021-09-08,2021-09-08,5,2
INTE2204344A__20210914__20210914,INTE2204344A,2021-09-14,2021-09-14,1,1
INTE2204344A__20210925__20210925,INTE2204344A,2021-09-25,2021-09-25,2,1
INTE2204344A__20211002__20211004,INTE2204344A,2021-10-02,2021-10-04,1,1
INTE2204344A__20220202__20220204,INTE2204344A,2022-02-02,2022-02-04,20,1
INTE2207961A__20200122__20200123,INTE2207961A,2020-01-22,2020-01-23,1,1
INTE2207961A__20200812__20200814,INTE2207961A,2020-08-12,2020-08-14,1,1
INTE2207961A__20210604__20210604,INTE2207961A,2021-06-04,2021-06-04,1,1
INTE2207961A__20210627__20210629,INTE2207961A,2021-06-27,2021-06-29,1,1
INTE2207961A__20210903__20210903,INTE2207961A,2021-09-03,2021-09-03,1,1
INTE2207961A__20210909__20210909,INTE2207961A,2021-09-09,2021-09-09,2,1
INTE2207961A__20210915__20210915,INTE2207961A,2021-09-15,2021-09-15,3,1
INTE2207961A__20210919__20210919,INTE2207961A,2021-09-19,2021-09-19,1,1
INTE2207961A__20211114__20211115,INTE2207961A,2021-11-14,2021-11-15,1,1
INTE2207961A__20211124__20211125,INTE2207961A,2021-11-24,2021-11-25,1,1
INTE2209895A__20220301__20220323,INTE2209895A,2022-03-01,2022-03-23,14,1
INTE2424582A__20231129__20231201,INTE2424582A,2023-11-29,2023-12-01,1,1
INTE2424582A__20231130__20231202,INTE2424582A,2023-11-30,2023-12-02,1,1
INTE2424582A__20231212__20231213,INTE2424582A,2023-12-12,2023-12-13,1,1
INTE2424582A__20240328__20240403,INTE2424582A,2024-03-28,2024-04-03,3,1
INTE2424582A__20240416__20240416,INTE2424582A,2024-04-16,2024-04-16,1,1
INTE2424582A__20240627__20240627,INTE2424582A,2024-06-27,2024-06-27,6,2
INTE2424582A__20240630__20240701,INTE2424582A,2024-06-30,2024-07-01,7,1
INTE2424582A__20240718__20240718,INTE2424582A,2024-07-18,2024-07-18,1,1
INTE2424582A__20240729__20240729,INTE2424582A,2024-07-29,2024-07-29,4,1
INTE2424582A__20240729__20240730,INTE2424582A,2024-07-29,2024-07-30,3,3
INTE2424582A__20240729__20240731,INTE2424582A,2024-07-29,2024-07-31,1,1
INTE2424582A__20240730__20240731,INTE2424582A,2024-07-30,2024-07-31,19,2
INTE2424582A__20240730__20240801,INTE2424582A,2024-07-30,2024-08-01,1,1
INTE2424582A__20240731__20240802,INTE2424582A,2024-07-31,2024-08-02,1,1
INTE2424582A__20240801__20240802,INTE2424582A,2024-08-01,2024-08-02,2,1
INTE2424582A__20240811__20240813,INTE2424582A,2024-08-11,2024-08-13,1,1
INTE2424582A__20240812__20240813,INTE2424582A,2024-08-12,2024-08-13,4,3
INTE2424582A__20240813__20240813,INTE2424582A,2024-08-13,2024-08-13,7,5
INTE2424582A__20240831__20240831,INTE2424582A,2024-08-31,2024-08-31,1,1
INTE2427051A__20240710__20240710,INTE2427051A,2024-07-10,2024-07-10,1,1
INTE2427051A__20240729__20240729,INTE2427051A,2024-07-29,2024-07-29,1,1
INTE2427051A__20240729__20240730,INTE2427051A,2024-07-29,2024-07-30,1,1
INTE2427051A__20240730__20240802,INTE2427051A,2024-07-30,2024-08-02,1,1
INTE2427051A__20240801__20240801,INTE2427051A,2024-08-01,2024-08-01,7,2
INTE2427051A__20240813__20240813,INTE2427051A,2024-08-13,2024-08-13,3,3
INTE2427051A__20240903__20240903,INTE2427051A,2024-09-03,2024-09-03,1,1
INTE2427051A__20240903__20240904,INTE2427051A,2024-09-03,2024-09-04,2,2
INTE2427051A__20240904__20240904,INTE2427051A,2024-09-04,2024-09-04,1,1
INTE2427051A__20240905__20240907,INTE2427051A,2024-09-05,2024-09-07,1,1
INTE2430293A__20240711__20240711,INTE2430293A,2024-07-11,2024-07-11,1,1
INTE2430293A__20240718__20240718,INTE2430293A,2024-07-18,2024-07-18,1,1
INTE2430293A__20240729__20240729,INTE2430293A,2024-07-29,2024-07-29,1,1
INTE2430293A__20240730__20240731,INTE2430293A,2024-07-30,2024-07-31,1,1
INTE2430293A__20240731__20240731,INTE2430293A,2024-07-31,2024-07-31,8,4
INTE2430293A__20240801__20240801,INTE2430293A,2024-08-01,2024-08-01,1,1
INTE2430293A__20240812__20240812,INTE2430293A,2024-08-12,2024-08-12,3,1
INTE2430293A__20240812__20240813,INTE2430293A,2024-08-12,2024-08-13,3,2
INTE2430293A__20240831__20240831,INTE2430293A,2024-08-31,2024-08-31,1,1
INTE2430293A__20240904__20240904,INTE2430293A,2024-09-04,2024-09-04,1,1
INTE2430293A__20240904__20240907,INTE2430293A,2024-09-04,2024-09-07,1,1
INTE2430293A__20240905__20240906,INTE2430293A,2024-09-05,2024-09-06,1,1
INTE2430293A__20240906__20240906,INTE2430293A,2024-09-06,2024-09-06,1,1
INTE2430293A__20240908__20240909,INTE2430293A,2024-09-08,2024-09-09,1,1
INTE2430293A__20240922__20240922,INTE2430293A,2024-09-22,2024-09-22,1,1
INTE2430293A__20241015__20241015,INTE2430293A,2024-10-15,2024-10-15,1,1
INTE2430293A__20241015__20241016,INTE2430293A,2024-10-15,2024-10-16,1,1
INTE2433751A__20231130__20231201,INTE2433751A,2023-11-30,2023-12-01,1,1
INTE2433751A__20240629__20240701,INTE2433751A,2024-06-29,2024-07-01,1,1
INTE2433751A__20240630__20240701,INTE2433751A,2024-06-30,2024-07-01,6,2
INTE2433751A__20240730__20240730,INTE2433751A,2024-07-30,2024-07-30,1,1
INTE2433751A__20240801__20240801,INTE2433751A,2024-08-01,2024-08-01,1,1
INTE2433751A__20240813__20240813,INTE2433751A,2024-08-13,2024-08-13,1,1
INTE2433751A__20240901__20240902,INTE2433751A,2024-09-01,2024-09-02,1,1
INTE2433751A__20240903__20240904,INTE2433751A,2024-09-03,2024-09-04,1,1
INTE2433751A__20240906__20240906,INTE2433751A,2024-09-06,2024-09-06,1,1
INTE2433751A__20240922__20240922,INTE2433751A,2024-09-22,2024-09-22,7,1
INTE2433751A__20240926__20240926,INTE2433751A,2024-09-26,2024-09-26,1,1
INTE2433751A__20241008__20241008,INTE2433751A,2024-10-08,2024-10-08,4,2
INTE2433751A__20241008__20241012,INTE2433751A,2024-10-08,2024-10-12,1,1
INTE2433751A__20241014__20241016,INTE2433751A,2024-10-14,2024-10-16,2,1
INTE2433751A__20241015__20241017,INTE2433751A,2024-10-15,2024-10-17,1,1
INTE2433751A__20241016__20241017,INTE2433751A,2024-10-16,2024-10-17,11,4
INTE2433751A__20241017__20241017,INTE2433751A,2024-10-17,2024-10-17,4,2
INTE2433751A__20241023__20241025,INTE2433751A,2024-10-23,2024-10-25,3,1
INTE2433751A__20241024__20241024,INTE2433751A,2024-10-24,2024-10-24,2,1
INTE2433751A__20241024__20241025,INTE2433751A,2024-10-24,2024-10-25,3,1
INTE2433751A__20241024__20241026,INTE2433751A,2024-10-24,2024-10-26,4,1
INTE2433751A__20241025__20241025,INTE2433751A,2024-10-25,2024-10-25,7,1
INTE2433751A__20241025__20241026,INTE2433751A,2024-10-25,2024-10-26,2,1
INTE2433751A__20241117__20241118,INTE2433751A,2024-11-17,2024-11-18,1,1
INTE2433751A__20241118__20241118,INTE2433751A,2024-11-18,2024-11-18,1,1
INTE2434565A__20241212__20241214,INTE2434565A,2024-12-12,2024-12-14,17,1
INTE2501371A__20210907__20210908,INTE2501371A,2021-09-07,2021-09-08,1,1
INTE2501371A__20221105__20221106,INTE2501371A,2022-11-05,2022-11-06,1,1
INTE2501371A__20230602__20230602,INTE2501371A,2023-06-02,2023-06-02,1,1
INTE2501371A__20240629__20240630,INTE2501371A,2024-06-29,2024-06-30,1,1
INTE2501371A__20240718__20240718,INTE2501371A,2024-07-18,2024-07-18,1,1
INTE2501371A__20240801__20240801,INTE2501371A,2024-08-01,2024-08-01,1,1
INTE2501371A__20240812__20240812,INTE2501371A,2024-08-12,2024-08-12,4,2
INTE2501371A__20240823__20240823,INTE2501371A,2024-08-23,2024-08-23,4,1
INTE2501371A__20240905__20240906,INTE2501371A,2024-09-05,2024-09-06,1,1
INTE2501371A__20241006__20241007,INTE2501371A,2024-10-06,2024-10-07,2,1
INTE2501371A__20241007__20241007,INTE2501371A,2024-10-07,2024-10-07,3,1
INTE2501371A__20241007__20241009,INTE2501371A,2024-10-07,2024-10-09,1,1
INTE2501371A__20241008__20241008,INTE2501371A,2024-10-08,2024-10-08,1,1
INTE2501371A__20241024__20241024,INTE2501371A,2024-10-24,2024-10-24,1,1
INTE2501371A__20241024__20241025,INTE2501371A,2024-10-24,2024-10-25,1,1
INTE2501371A__20241025__20241025,INTE2501371A,2024-10-25,2024-10-25,1,1
INTE2501371A__20241025__20241026,INTE2501371A,2024-10-25,2024-10-26,1,1
INTE2501371A__20241027__20241028,INTE2501371A,2024-10-27,2024-10-28,1,1
INTE2505371A__20240328__20240329,INTE2505371A,2024-03-28,2024-03-29,1,1
INTE2505371A__20240714__20240714,INTE2505371A,2024-07-14,2024-07-14,1,1
INTE2505371A__20240812__20240812,INTE2505371A,2024-08-12,2024-08-12,1,1
INTE2505371A__20240813__20240813,INTE2505371A,2024-08-13,2024-08-13,2,1
INTE2505371A__20240823__20240823,INTE2505371A,2024-08-23,2024-08-23,1,1
INTE2505371A__20241015__20241016,INTE2505371A,2024-10-15,2024-10-16,1,1
INTE2505371A__20241016__20241016,INTE2505371A,2024-10-16,2024-10-16,1,1
INTE2505371A__20241025__20241025,INTE2505371A,2024-10-25,2024-10-25,2,2
INTE2505371A__20241118__20241118,INTE2505371A,2024-11-18,2024-11-18,1,1
INTE2505371A__20241211__20241212,INTE2505371A,2024-12-11,2024-12-12,2,1
INTE2508631A__20240730__20240730,INTE2508631A,2024-07-30,2024-07-30,1,1
INTE2508631A__20240812__20240812,INTE2508631A,2024-08-12,2024-08-12,1,1
INTE2508631A__20241007__20241007,INTE2508631A,2024-10-07,2024-10-07,1,1
INTE2508631A__20241015__20241015,INTE2508631A,2024-10-15,2024-10-15,1,1
INTE2508631A__20241016__20241016,INTE2508631A,2024-10-16,2024-10-16,1,1
INTE2508631A__20241016__20241017,INTE2508631A,2024-10-16,2024-10-17,1,1
INTE2508631A__20241025__20241026,INTE2508631A,2024-10-25,2024-10-26,1,1
INTE2511307A__20231102__20240324,INTE2511307A,2023-11-02,2024-03-24,3,1
INTE2511307A__20240801__20240801,INTE2511307A,2024-08-01,2024-08-01,1,1
INTE2514336A__20231130__20231201,INTE2514336A,2023-11-30,2023-12-01,1,1
INTE2514336A__20231210__20231212,INTE2514336A,2023-12-10,2023-12-12,1,1
INTE2514336A__20240328__20240329,INTE2514336A,2024-03-28,2024-03-29,1,1
INTE2514336A__20240608__20240608,INTE2514336A,2024-06-08,2024-06-08,2,1
INTE2514336A__20240812__20240812,INTE2514336A,2024-08-12,2024-08-12,1,1
INTE2517855A__20241015__20241016,INTE2517855A,2024-10-15,2024-10-16,1,1
INTE2517855A__20241025__20241026,INTE2517855A,2024-10-25,2024-10-26,1,1
INTE2519692A__20240229__20240429,INTE2519692A,2024-02-29,2024-04-29,1,1
INTE2525618A__20240812__20240812,INTE2525618A,2024-08-12,2024-08-12,1,1
INTE2525618A__20240925__20240926,INTE2525618A,2024-09-25,2024-09-26,1,1
INTE2525618A__20241016__20241016,INTE2525618A,2024-10-16,2024-10-16,1,1
INTE2525618A__20241211__20241212,INTE2525618A,2024-12-11,2024-12-12,1,1
INTE2527884A__20241008__20241008,INTE2527884A,2024-10-08,2024-10-08,5,2
INTE2527884A__20241008__20241009,INTE2527884A,2024-10-08,2024-10-09,4,1
INTE2527884A__20241009__20241010,INTE2527884A,2024-10-09,2024-10-10,1,1
INTE2527884A__20241009__20241013,INTE2527884A,2024-10-09,2024-10-13,1,1
IOME2219351__20200626__20200627,IOME2219351,2020-06-26,2020-06-27,1,1
IOME2219351__20220424__20220424,IOME2219351,2022-04-24,2022-04-24,1,1
IOME2219351__20220515__20220515,IOME2219351,2022-05-15,2022-05-15,3,2
IOME2219351__20220520__20220520,IOME2219351,2022-05-20,2022-05-20,17,2
IOME2219351__20220522__20220523,IOME2219351,2022-05-22,2022-05-23,1,1
IOME2219351__20220523__20220523,IOME2219351,2022-05-23,2022-05-23,1,1
IOME2219351__20220603__20220603,IOME2219351,2022-06-03,2022-06-03,1,1
IOME2219351__20220604__20220604,IOME2219351,2022-06-04,2022-06-04,5,2
IOME2220202A__20210926__20210926,IOME2220202A,2021-09-26,2021-09-26,1,1
IOME2220202A__20220109__20220110,IOME2220202A,2022-01-09,2022-01-10,1,1
IOME2220202A__20220408__20220408,IOME2220202A,2022-04-08,2022-04-08,2,1
IOME2220202A__20220408__20220409,IOME2220202A,2022-04-08,2022-04-09,3,2
IOME2220202A__20220515__20220515,IOME2220202A,2022-05-15,2022-05-15,2,1
IOME2220202A__20220518__20220518,IOME2220202A,2022-05-18,2022-05-18,2,1
IOME2220202A__20220603__20220603,IOME2220202A,2022-06-03,2022-06-03,2,1
IOME2220202A__20220603__20220605,IOME2220202A,2022-06-03,2022-06-05,4,3
IOME2220202A__20220604__20220604,IOME2220202A,2022-06-04,2022-06-04,1,1
IOME2220202A__20220605__20220605,IOME2220202A,2022-06-05,2022-06-05,2,1
IOME2220202A__20220622__20220622,IOME2220202A,2022-06-22,2022-06-22,1,1
IOME2220202A__20220622__20220623,IOME2220202A,2022-06-22,2022-06-23,1,1
IOME2220202A__20220623__20220623,IOME2220202A,2022-06-23,2022-06-23,3,2
IOME2221479A__20220408__20220408,IOME2221479A,2022-04-08,2022-04-08,1,1
IOME2221479A__20220408__20220409,IOME2221479A,2022-04-08,2022-04-09,1,1
IOME2221479A__20220409__20220411,IOME2221479A,2022-04-09,2022-04-11,1,1
IOME2221479A__20220520__20220520,IOME2221479A,2022-05-20,2022-05-20,1,1
IOME2221479A__20220522__20220523,IOME2221479A,2022-05-22,2022-05-23,1,1
IOME2221479A__20220603__20220605,IOME2221479A,2022-06-03,2022-06-05,6,2
IOME2221479A__20220618__20220618,IOME2221479A,2022-06-18,2022-06-18,1,1
IOME2221479A__20220620__20220620,IOME2221479A,2022-06-20,2022-06-20,5,2
IOME2221479A__20220620__20220621,IOME2221479A,2022-06-20,2022-06-21,1,1
IOME2221479A__20220620__20220622,IOME2221479A,2022-06-20,2022-06-22,31,2
IOME2221479A__20220622__20220622,IOME2221479A,2022-06-22,2022-06-22,1,1
IOME2221479A__20220623__20220623,IOME2221479A,2022-06-23,2022-06-23,1,1
IOME2221479A__20220624__20220624,IOME2221479A,2022-06-24,2022-06-24,1,1
IOME2221479A__20220626__20220627,IOME2221479A,2022-06-26,2022-06-27,1,1
IOME2221479A__20220628__20220628,IOME2221479A,2022-06-28,2022-06-28,1,1
IOME2222390A__20220408__20220409,IOME2222390A,2022-04-08,2022-04-09,1,1
IOME2222390A__20220423__20220424,IOME2222390A,2022-04-23,2022-04-24,1,1
IOME2222390A__20220424__20220424,IOME2222390A,2022-04-24,2022-04-24,2,2
IOME2222390A__20220518__20220518,IOME2222390A,2022-05-18,2022-05-18,1,1
IOME2222390A__20220602__20220602,IOME2222390A,2022-06-02,2022-06-02,2,1
IOME2222390A__20220603__20220605,IOME2222390A,2022-06-03,2022-06-05,4,2
IOME2222390A__20220623__20220623,IOME2222390A,2022-06-23,2022-06-23,1,1
IOME2224383A__20220817__20220817,IOME2224383A,2022-08-17,2022-08-17,4,2
IOME2224383A__20220818__20220819,IOME2224383A,2022-08-18,2022-08-19,73,2
IOME2226252A__20200919__20200920,IOME2226252A,2020-09-19,2020-09-20,1,1
IOME2226252A__20220408__20220409,IOME2226252A,2022-04-08,2022-04-09,1,1
IOME2226252A__20220520__20220520,IOME2226252A,2022-05-20,2022-05-20,1,1
IOME2226252A__20220602__20220602,IOME2226252A,2022-06-02,2022-06-02,3,1
IOME2226252A__20220603__20220603,IOME2226252A,2022-06-03,2022-06-03,3,2
IOME2226252A__20220603__20220605,IOME2226252A,2022-06-03,2022-06-05,5,3
IOME2226252A__20220604__20220604,IOME2226252A,2022-06-04,2022-06-04,1,1
IOME2226252A__20220620__20220620,IOME2226252A,2022-06-20,2022-06-20,6,2
IOME2226252A__20220621__20220622,IOME2226252A,2022-06-21,2022-06-22,1,1
IOME2226252A__20220623__20220623,IOME2226252A,2022-06-23,2022-06-23,2,2
IOME2226252A__20220720__20220720,IOME2226252A,2022-07-20,2022-07-20,1,1
IOME2226252A__20220805__20220805,IOME2226252A,2022-08-05,2022-08-05,2,1
IOME2226252A__20220811__20220811,IOME2226252A,2022-08-11,2022-08-11,1,1
IOME2226252A__20220814__20220814,IOME2226252A,2022-08-14,2022-08-14,1,1
IOME2226252A__20220816__20220816,IOME2226252A,2022-08-16,2022-08-16,5,3
IOME2226252A__20220816__20220817,IOME2226252A,2022-08-16,2022-08-17,3,1
IOME2226252A__20220818__20220819,IOME2226252A,2022-08-18,2022-08-19,22,2
IOME2229183A__20220408__20220408,IOME2229183A,2022-04-08,2022-04-08,2,1
IOME2229183A__20220408__20220409,IOME2229183A,2022-04-08,2022-04-09,10,1
IOME2229183A__20220603__20220603,IOME2229183A,2022-06-03,2022-06-03,3,1
IOME2229183A__20220603__20220605,IOME2229183A,2022-06-03,2022-06-05,1,1
IOME2229183A__20220619__20220620,IOME2229183A,2022-06-19,2022-06-20,1,1
IOME2229183A__20220621__20220622,IOME2229183A,2022-06-21,2022-06-22,1,1
IOME2229183A__20220623__20220623,IOME2229183A,2022-06-23,2022-06-23,3,2
IOME2229183A__20220628__20220629,IOME2229183A,2022-06-28,2022-06-29,1,1
IOME2229183A__20220629__20220629,IOME2229183A,2022-06-29,2022-06-29,1,1
IOME2229183A__20220805__20220805,IOME2229183A,2022-08-05,2022-08-05,1,1
IOME2229183A__20220814__20220814,IOME2229183A,2022-08-14,2022-08-14,3,1
IOME2229183A__20220816__20220816,IOME2229183A,2022-08-16,2022-08-16,4,2
IOME2229183A__20220817__20220817,IOME2229183A,2022-08-17,2022-08-17,3,2
IOME2229183A__20220827__20220827,IOME2229183A,2022-08-27,2022-08-27,1,1
IOME2229183A__20220903__20220903,IOME2229183A,2022-09-03,2022-09-03,3,1
IOME2229183A__20220905__20220905,IOME2229183A,2022-09-05,2022-09-05,6,4
IOME2229183A__20220906__20220906,IOME2229183A,2022-09-06,2022-09-06,7,2
IOME2229183A__20220906__20220908,IOME2229183A,2022-09-06,2022-09-08,5,1
IOME2229183A__20220908__20220908,IOME2229183A,2022-09-08,2022-09-08,1,1
IOME2229183A__20220914__20220914,IOME2229183A,2022-09-14,2022-09-14,4,2
IOME2229183A__20220916__20220918,IOME2229183A,2022-09-16,2022-09-18,2,1
IOME2235873A__20200121__20200122,IOME2235873A,2020-01-21,2020-01-22,1,1
IOME2235873A__20220515__20220515,IOME2235873A,2022-05-15,2022-05-15,1,1
IOME2235873A__20220603__20220605,IOME2235873A,2022-06-03,2022-06-05,2,2
IOME2235873A__20220620__20220620,IOME2235873A,2022-06-20,2022-06-20,1,1
IOME2235873A__20220620__20220621,IOME2235873A,2022-06-20,2022-06-21,1,1
IOME2235873A__20220621__20220621,IOME2235873A,2022-06-21,2022-06-21,1,1
IOME2235873A__20220720__20220720,IOME2235873A,2022-07-20,2022-07-20,1,1
IOME2235873A__20220816__20220816,IOME2235873A,2022-08-16,2022-08-16,1,1
IOME2235873A__20220817__20220817,IOME2235873A,2022-08-17,2022-08-17,2,1
IOME2235873A__20221114__20221114,IOME2235873A,2022-11-14,2022-11-14,4,1
IOME2301092A__20220603__20220605,IOME2301092A,2022-06-03,2022-06-05,1,1
IOME2301092A__20220816__20220816,IOME2301092A,2022-08-16,2022-08-16,1,1
IOME2301092A__20221106__20221106,IOME2301092A,2022-11-06,2022-11-06,1,1
IOME2304949A__20220603__20220605,IOME2304949A,2022-06-03,2022-06-05,2,2
IOME2304949A__20220622__20220622,IOME2304949A,2022-06-22,2022-06-22,1,1
IOME2304949A__20220807__20220807,IOME2304949A,2022-08-07,2022-08-07,1,1
IOME2304949A__20220816__20220816,IOME2304949A,2022-08-16,2022-08-16,8,1
IOME2304949A__20220817__20220817,IOME2304949A,2022-08-17,2022-08-17,1,1
IOME2304949A__20220828__20220828,IOME2304949A,2022-08-28,2022-08-28,2,1
IOME2304949A__20220905__20220905,IOME2304949A,2022-09-05,2022-09-05,1,1
IOME2304949A__20220906__20220908,IOME2304949A,2022-09-06,2022-09-08,1,1
IOME2304949A__20220914__20220914,IOME2304949A,2022-09-14,2022-09-14,1,1
IOME2307448A__20220520__20220520,IOME2307448A,2022-05-20,2022-05-20,1,1
IOME2307448A__20230125__20230126,IOME2307448A,2023-01-25,2023-01-26,2,1
IOME2311006A__20220624__20220624,IOME2311006A,2022-06-24,2022-06-24,1,1
IOME2311006A__20220816__20220816,IOME2311006A,2022-08-16,2022-08-16,1,1
IOME2311006A__20220906__20220906,IOME2311006A,2022-09-06,2022-09-06,1,1
IOME2311006A__20230125__20230126,IOME2311006A,2023-01-25,2023-01-26,1,1
IOME2313527A__20201128__20201217,IOME2313527A,2020-11-28,2020-12-17,1,1
IOME2313527A__20220408__20220409,IOME2313527A,2022-04-08,2022-04-09,1,1
IOME2313527A__20220604__20220604,IOME2313527A,2022-06-04,2022-06-04,1,1
IOME2313527A__20230108__20230109,IOME2313527A,2023-01-08,2023-01-09,1,1
IOME2313527A__20230313__20230313,IOME2313527A,2023-03-13,2023-03-13,1,1
IOME2316196A__20230117__20230118,IOME2316196A,2023-01-17,2023-01-18,1,1
IOME2316196A__20230522__20230522,IOME2316196A,2023-05-22,2023-05-22,3,2
IOME2316196A__20230528__20230528,IOME2316196A,2023-05-28,2023-05-28,4,2
IOME2318044A__20220520__20220520,IOME2318044A,2022-05-20,2022-05-20,1,1
IOME2318044A__20230522__20230523,IOME2318044A,2023-05-22,2023-05-23,1,1
IOME2318044A__20230523__20230523,IOME2318044A,2023-05-23,2023-05-23,1,1
IOME2318044A__20230524__20230524,IOME2318044A,2023-05-24,2023-05-24,9,2
IOME2318044A__20230524__20230525,IOME2318044A,2023-05-24,2023-05-25,1,1
IOME2318044A__20230528__20230528,IOME2318044A,2023-05-28,2023-05-28,3,1
IOME2318044A__20230529__20230529,IOME2318044A,2023-05-29,2023-05-29,1,1
IOME2318044A__20230603__20230604,IOME2318044A,2023-06-03,2023-06-04,1,1
IOME2318044A__20230606__20230606,IOME2318044A,2023-06-06,2023-06-06,2,1
IOME2318044A__20230607__20230607,IOME2318044A,2023-06-07,2023-06-07,1,1
IOME2318044A__20230611__20230612,IOME2318044A,2023-06-11,2023-06-12,2,1
IOME2318044A__20230612__20230613,IOME2318044A,2023-06-12,2023-06-13,3,1
IOME2318044A__20230618__20230618,IOME2318044A,2023-06-18,2023-06-18,5,1
IOME2318044A__20230620__20230620,IOME2318044A,2023-06-20,2023-06-20,1,1
IOME2320253A__20230506__20230506,IOME2320253A,2023-05-06,2023-05-06,2,1
IOME2320253A__20230522__20230522,IOME2320253A,2023-05-22,2023-05-22,2,1
IOME2320253A__20230524__20230525,IOME2320253A,2023-05-24,2023-05-25,2,1
IOME2320253A__20230601__20230601,IOME2320253A,2023-06-01,2023-06-01,1,1
IOME2320253A__20230604__20230604,IOME2320253A,2023-06-04,2023-06-04,1,1
IOME2320253A__20230606__20230606,IOME2320253A,2023-06-06,2023-06-06,1,1
IOME2320253A__20230609__20230610,IOME2320253A,2023-06-09,2023-06-10,1,1
IOME2320253A__20230610__20230610,IOME2320253A,2023-06-10,2023-06-10,4,1
IOME2320253A__20230612__20230613,IOME2320253A,2023-06-12,2023-06-13,7,2
IOME2320253A__20230614__20230614,IOME2320253A,2023-06-14,2023-06-14,2,1
IOME2320253A__20230618__20230618,IOME2320253A,2023-06-18,2023-06-18,5,2
IOME2320253A__20230619__20230619,IOME2320253A,2023-06-19,2023-06-19,6,3
IOME2320253A__20230619__20230620,IOME2320253A,2023-06-19,2023-06-20,1,1
IOME2320253A__20230620__20230620,IOME2320253A,2023-06-20,2023-06-20,10,2
IOME2320253A__20230621__20230621,IOME2320253A,2023-06-21,2023-06-21,24,3
IOME2320253A__20230621__20230622,IOME2320253A,2023-06-21,2023-06-22,6,3
IOME2320253A__20230622__20230622,IOME2320253A,2023-06-22,2023-06-22,3,3
IOME2320253A__20230629__20230629,IOME2320253A,2023-06-29,2023-06-29,1,1
IOME2324728A__20221203__20221203,IOME2324728A,2022-12-03,2022-12-03,1,1
IOME2324728A__20230313__20230313,IOME2324728A,2023-03-13,2023-03-13,1,1
IOME2324728A__20230522__20230523,IOME2324728A,2023-05-22,2023-05-23,5,2
IOME2324728A__20230523__20230524,IOME2324728A,2023-05-23,2023-05-24,3,1
IOME2324728A__20230524__20230525,IOME2324728A,2023-05-24,2023-05-25,1,1
IOME2324728A__20230529__20230529,IOME2324728A,2023-05-29,2023-05-29,1,1
IOME2324728A__20230530__20230530,IOME2324728A,2023-05-30,2023-05-30,1,1
IOME2324728A__20230602__20230602,IOME2324728A,2023-06-02,2023-06-02,2,2
IOME2324728A__20230603__20230604,IOME2324728A,2023-06-03,2023-06-04,3,2
IOME2324728A__20230604__20230604,IOME2324728A,2023-06-04,2023-06-04,4,2
IOME2324728A__20230610__20230610,IOME2324728A,2023-06-10,2023-06-10,3,1
IOME2324728A__20230611__20230612,IOME2324728A,2023-06-11,2023-06-12,5,1
IOME2324728A__20230612__20230612,IOME2324728A,2023-06-12,2023-06-12,8,5
IOME2324728A__20230613__20230614,IOME2324728A,2023-06-13,2023-06-14,1,1
IOME2324728A__20230615__20230615,IOME2324728A,2023-06-15,2023-06-15,1,1
IOME2324728A__20230618__20230618,IOME2324728A,2023-06-18,2023-06-18,10,2
IOME2324728A__20230619__20230619,IOME2324728A,2023-06-19,2023-06-19,6,4
IOME2324728A__20230621__20230622,IOME2324728A,2023-06-21,2023-06-22,2,1
IOME2324728A__20230622__20230622,IOME2324728A,2023-06-22,2023-06-22,4,4
IOME2324728A__20230629__20230629,IOME2324728A,2023-06-29,2023-06-29,4,2
IOME2324728A__20230629__20230630,IOME2324728A,2023-06-29,2023-06-30,3,3
IOME2324728A__20230630__20230630,IOME2324728A,2023-06-30,2023-06-30,1,1
IOME2324728A__20230708__20230708,IOME2324728A,2023-07-08,2023-07-08,3,1
IOME2324728A__20230709__20230709,IOME2324728A,2023-07-09,2023-07-09,1,1
IOME2324728A__20230727__20230727,IOME2324728A,2023-07-27,2023-07-27,3,1
IOME2324728A__20230728__20230728,IOME2324728A,2023-07-28,2023-07-28,1,1
IOME2324728A__20230729__20230729,IOME2324728A,2023-07-29,2023-07-29,1,1
IOME2324728A__20230816__20230816,IOME2324728A,2023-08-16,2023-08-16,1,1
IOME2324728A__20230824__20230824,IOME2324728A,2023-08-24,2023-08-24,1,1
IOME2325523A__20230506__20230506,IOME2325523A,2023-05-06,2023-05-06,1,1
IOME2325523A__20230524__20230525,IOME2325523A,2023-05-24,2023-05-25,1,1
IOME2325523A__20230613__20230614,IOME2325523A,2023-06-13,2023-06-14,1,1
IOME2325523A__20230704__20230704,IOME2325523A,2023-07-04,2023-07-04,1,1
IOME2325523A__20230814__20230814,IOME2325523A,2023-08-14,2023-08-14,8,1
IOME2325523A__20230916__20230917,IOME2325523A,2023-09-16,2023-09-17,16,1
IOME2325523A__20230918__20230918,IOME2325523A,2023-09-18,2023-09-18,47,2
IOME2327460A__20230611__20230612,IOME2327460A,2023-06-11,2023-06-12,1,1
IOME2327460A__20230613__20230613,IOME2327460A,2023-06-13,2023-06-13,1,1
IOME2327460A__20230618__20230618,IOME2327460A,2023-06-18,2023-06-18,2,1
IOME2327460A__20230622__20230622,IOME2327460A,2023-06-22,2023-06-22,1,1
