jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_communes,exact_date_commune_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank
WD_MERGE_2018-02-26---2018-03-05_duration_7_days_cluster_033_A0_000021_A_000025_lat_04357_lon_00435_size_0015,INTE1810998A__20180228__20180302,INTE1810998A,2018-02-26,2018-03-05,2018-02-28,2018-03-02,2,0,2,2,2,2.0,3.0,5.0,5,3,2018-02-26,2018-03-05,39,5,5,2018-02-28,2018-03-02,2,1,0.05128205128205128,1.0,1
WD_MERGE_2024-10-07---2024-10-28_duration_21_days_cluster_225_A0_000049_A_000052_lat_04056_lon_-0050_size_0147,INTE2501371A__20241016__20241017,INTE2501371A,2024-10-07,2024-10-28,2024-10-16,2024-10-17,2,0,2,2,2,9.0,11.0,20.0,20,2,2024-10-07,2024-10-28,44,2,2,2024-10-16,2024-10-17,10,5,0.045454545454545456,0.2,1
WD_MERGE_2024-06-24---2024-07-08_duration_14_days_cluster_103_A0_000011_A_000012_lat_04804_lon_-0302_size_0095,IOME2418595A__20240617__20240621,IOME2418595A,2024-06-24,2024-07-08,2024-06-17,2024-06-21,2,0,2,2,2,7.0,17.0,24.0,24,0,2024-06-24,2024-07-08,52,4,4,2024-06-17,2024-06-21,290,9,0.038461538461538464,0.006896551724137931,1
WD_MERGE_2024-02-05---2024-02-26_duration_21_days_cluster_342_A0_002659_A_002896_lat_05242_lon_01873_size_0503,IOME2410378A__20240227__20240229,IOME2410378A,2024-02-05,2024-02-26,2024-02-27,2024-02-29,2,0,2,2,2,22.0,3.0,25.0,25,0,2024-02-05,2024-02-26,772,35,35,2024-02-27,2024-02-29,3,1,0.0025906735751295338,0.6666666666666666,1
WD_MERGE_2018-10-29---2018-11-12_duration_14_days_cluster_271_A0_000043_A_000064_lat_04503_lon_00990_size_0026,INTE1831446A__20181010__20181011,INTE1831446A,2018-10-29,2018-11-12,2018-10-10,2018-10-11,1,0,0,0,1,19.0,32.0,51.0,51,0,2018-10-29,2018-11-12,3,2,2,2018-10-10,2018-10-11,2,1,0.3333333333333333,0.5,1
WD_MERGE_2024-01-01---2024-04-01_duration_91_days_cluster_332_A0_000692_A_000753_lat_05333_lon_-0217_size_0189,IOME2410378A__20240226__20240301,IOME2410378A,2024-01-01,2024-04-01,2024-02-26,2024-03-01,1,0,0,0,1,56.0,31.0,87.0,87,5,2024-01-01,2024-04-01,7,1,1,2024-02-26,2024-03-01,1,1,0.14285714285714285,1.0,1
WD_MERGE_2022-10-31---2022-11-07_duration_7_days_cluster_272_A0_000001_A_000001_lat_04370_lon_00453_size_0035,IOME2235873A__20221109__20221109,IOME2235873A,2022-10-31,2022-11-07,2022-11-09,2022-11-09,1,0,1,1,1,9.0,2.0,11.0,11,0,2022-10-31,2022-11-07,11,4,4,2022-11-09,2022-11-09,5,2,0.09090909090909091,0.2,1
WD_MERGE_2020-06-01---2020-06-08_duration_7_days_cluster_138_A0_000014_A_000016_lat_04355_lon_00458_size_0016,INTE2023938A__20200604__20200604,INTE2023938A,2020-06-01,2020-06-08,2020-06-04,2020-06-04,1,0,1,1,1,3.0,4.0,7.0,7,1,2020-06-01,2020-06-08,12,3,3,2020-06-04,2020-06-04,2,2,0.08333333333333333,0.5,1
WD_MERGE_2022-11-14---2022-11-21_duration_7_days_cluster_281_A0_000002_A_000002_lat_04367_lon_00454_size_0030,IOME2235873A__20221109__20221109,IOME2235873A,2022-11-14,2022-11-21,2022-11-09,2022-11-09,1,0,1,1,1,5.0,12.0,17.0,17,0,2022-11-14,2022-11-21,14,4,4,2022-11-09,2022-11-09,5,2,0.07142857142857142,0.2,1
WD_MERGE_2022-05-30---2022-06-06_duration_7_days_cluster_112_A0_000004_A_000004_lat_04877_lon_-0364_size_0007,INTE2217496A__20220603__20220605,INTE2217496A,2022-05-30,2022-06-06,2022-06-03,2022-06-05,1,0,1,1,1,4.0,1.0,5.0,5,3,2022-05-30,2022-06-06,18,2,2,2022-06-03,2022-06-05,26,12,0.05555555555555555,0.038461538461538464,1
