event_id,raster_file,raster_path,source_year_folder,start_date,end_date,duration_days,flood_id,gfm_extent_km2,enhanced_extent_km2,centroid_lat_cents,centroid_lon_cents,spatial_spread_units,nuts0_code,nuts0_name,max_depth_cm,flooded_pixels,flooded_area_m2,n_lau
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,RO,România,1250.0,303391,121356400.0,350
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,RS,Srbija/Сpбија,4862.0,135756,54302400.0,51
WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382,WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-02-09_duration_35_days_cluster_333_A0_000634_A_000739_lat_04463_lon_02251_size_0382.tif,2015,2014-12-29,2015-02-09,35,333,634,739,4463,2251,382,SK,Slovensko,696.0,18340,7336000.0,27
WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_009_A0_000036_A_000038_lat_03701_lon_-0629_size_0009,WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_009_A0_000036_A_000038_lat_03701_lon_-0629_size_0009.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_009_A0_000036_A_000038_lat_03701_lon_-0629_size_0009.tif,2015,2015-01-05,2015-01-12,7,9,36,38,3701,-629,9,ES,España,372.0,97291,38916400.0,16
WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_010_A0_000001_A_000002_lat_04768_lon_01002_size_0005,WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_010_A0_000001_A_000002_lat_04768_lon_01002_size_0005.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_010_A0_000001_A_000002_lat_04768_lon_01002_size_0005.tif,2015,2015-01-05,2015-01-12,7,10,1,2,4768,1002,5,AT,Österreich,92.0,20,8000.0,1
WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_010_A0_000001_A_000002_lat_04768_lon_01002_size_0005,WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_010_A0_000001_A_000002_lat_04768_lon_01002_size_0005.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-05---2015-01-12_duration_7_days_cluster_010_A0_000001_A_000002_lat_04768_lon_01002_size_0005.tif,2015,2015-01-05,2015-01-12,7,10,1,2,4768,1002,5,DE,Deutschland,656.0,5722,2288800.0,11
WD_MERGE_2015-01-12---2015-01-26_duration_14_days_cluster_015_A0_000006_A_000009_lat_04879_lon_00478_size_0056,WD_MERGE_2015-01-12---2015-01-26_duration_14_days_cluster_015_A0_000006_A_000009_lat_04879_lon_00478_size_0056.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-01-26_duration_14_days_cluster_015_A0_000006_A_000009_lat_04879_lon_00478_size_0056.tif,2015,2015-01-12,2015-01-26,14,15,6,9,4879,478,56,FR,France,775.0,24217,9686800.0,66
WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_014_A0_000103_A_000113_lat_03710_lon_-0647_size_0019,WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_014_A0_000103_A_000113_lat_03710_lon_-0647_size_0019.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_014_A0_000103_A_000113_lat_03710_lon_-0647_size_0019.tif,2015,2015-01-12,2015-02-16,35,14,103,113,3710,-647,19,ES,España,373.0,232932,93172800.0,44
WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_014_A0_000103_A_000113_lat_03710_lon_-0647_size_0019,WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_014_A0_000103_A_000113_lat_03710_lon_-0647_size_0019.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_014_A0_000103_A_000113_lat_03710_lon_-0647_size_0019.tif,2015,2015-01-12,2015-02-16,35,14,103,113,3710,-647,19,PT,Portugal,1111.0,30491,12196400.0,60
WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135,WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2015-01-12---2015-02-16_duration_35_days_cluster_334_A0_000858_A_000977_lat_04195_lon_02691_size_0135.tif,2015,2015-01-12,2015-02-16,35,334,858,977,4195,2691,135,BG,България ,1010.0,203090,81236000.0,82
