cod_commune,commune_name,n_flood_events,first_event,last_event
55157,Dommartin-la-Montagne,1,1999-12-25,1999-12-29
55160,Dompierre-aux-Bois,1,1999-12-25,1999-12-29
55163,Doncourt-aux-Templiers,1,1999-12-25,1999-12-29
55171,Eix,1,1999-12-25,1999-12-29
55172,Les Éparges,1,1999-12-25,1999-12-29
55177,Érize-la-Petite,1,1999-12-25,1999-12-29
55188,Flassigny,1,1999-12-25,1999-12-29
55189,Fleury-devant-Douaumont,1,1999-12-25,1999-12-29
55194,Foucaucourt-sur-Thabas,1,1999-12-25,1999-12-29
55195,Fouchères-aux-Bois,1,1999-12-25,1999-12-29
55202,Futeau,1,1999-12-25,1999-12-29
55211,Gincrey,1,1999-12-25,1999-12-29
55218,Gremilly,1,1999-12-25,1999-12-29
55219,Grimaucourt-en-Woëvre,1,1999-12-25,1999-12-29
55225,Halles-sous-les-Côtes,1,1999-12-25,1999-12-29
55237,Haudiomont,1,1999-12-25,1999-12-29
55239,Haumont-près-Samogneux,1,1999-12-25,1999-12-29
55241,Heippes,1,1999-12-25,1999-12-29
55242,Hennemont,1,1999-12-25,1999-12-29
55247,Horville-en-Ornois,1,1999-12-25,1999-12-29
55256,Jonville-en-Woëvre,1,1999-12-25,1999-12-29
55265,Labeuville,1,1999-12-25,1999-12-29
55270,Lahayville,1,1999-12-25,1999-12-29
55272,Laimont,1,1999-12-25,1999-12-29
55278,Laneuville-au-Rupt,1,1999-12-25,1999-12-29
55281,Latour-en-Woëvre,1,1999-12-25,1999-12-29
55284,Lavincourt,1,1999-12-25,1999-12-29
55289,Levoncourt,1,1999-12-25,1999-12-29
55293,Lion-devant-Dun,1,1999-12-25,1999-12-29
55301,Longchamps-sur-Aire,1,1999-12-25,1999-12-29
55303,Loupmont,1,1999-12-25,1999-12-29
55307,Louvemont-Côte-du-Poivre,1,1999-12-25,1999-12-29
55311,Maizeray,1,1999-12-25,1999-12-29
55315,Mandres-en-Barrois,1,1999-12-25,1999-12-29
55317,Manheulles,1,1999-12-25,1999-12-29
55323,Martincourt-sur-Meuse,1,1999-12-25,1999-12-29
55325,Maucourt-sur-Orne,1,1999-12-25,1999-12-29
55326,Maulan,1,1999-12-25,1999-12-29
55334,Ménil-la-Horgne,1,1999-12-25,1999-12-29
55335,Ménil-sur-Saulx,1,1999-12-25,1999-12-29
55339,Mogeville,1,1999-12-25,1999-12-29
55343,Montblainville,1,1999-12-25,1999-12-29
55349,Montigny-devant-Sassey,1,1999-12-25,1999-12-29
55353,Montsec,1,1999-12-25,1999-12-29
55356,Moranville,1,1999-12-25,1999-12-29
55360,Mouilly,1,1999-12-25,1999-12-29
55363,Moulotte,1,1999-12-25,1999-12-29
55365,Murvaux,1,1999-12-25,1999-12-29
55370,Naix-aux-Forges,1,1999-12-25,1999-12-29
55374,Nant-le-Petit,1,1999-12-25,1999-12-29
55375,Nantillois,1,1999-12-25,1999-12-29
55377,Nepvant,1,1999-12-25,1999-12-29
55394,Ornes,1,1999-12-25,1999-12-29
55399,Pareid,1,1999-12-25,1999-12-29
55409,Pretz-en-Argonne,1,1999-12-25,1999-12-29
55411,Rambluzin-et-Benoite-Vaux,1,1999-12-25,1999-12-29
55412,Rambucourt,1,1999-12-25,1999-12-29
55420,Récourt-le-Creux,1,1999-12-25,1999-12-29
55421,Reffroy,1,1999-12-25,1999-12-29
55428,Réville-aux-Bois,1,1999-12-25,1999-12-29
55431,Richecourt,1,1999-12-25,1999-12-29
55436,Les Roises,1,1999-12-25,1999-12-29
55446,Rumont,1,1999-12-25,1999-12-29
55450,Rupt-sur-Othain,1,1999-12-25,1999-12-29
55452,Saint-Amand-sur-Ornain,1,1999-12-25,1999-12-29
55453,Saint-André-en-Barrois,1,1999-12-25,1999-12-29
55462,Saint-Maurice-sous-les-Côtes,1,1999-12-25,1999-12-29
55464,Saint-Pierrevillers,1,1999-12-25,1999-12-29
55465,Saint-Remy-la-Calonne,1,1999-12-25,1999-12-29
55466,Salmagne,1,1999-12-25,1999-12-29
55470,Saudrupt,1,1999-12-25,1999-12-29
55477,Savonnières-en-Perthois,1,1999-12-25,1999-12-29
55488,Silmont,1,1999-12-25,1999-12-29
55489,Sivry-la-Perche,1,1999-12-25,1999-12-29
55495,Sorbey,1,1999-12-25,1999-12-29
55501,Stainville,1,1999-12-25,1999-12-29
55506,Thillombois,1,1999-12-25,1999-12-29
55507,Thillot,1,1999-12-25,1999-12-29
55508,Thonne-la-Long,1,1999-12-25,1999-12-29
55509,Thonne-le-Thil,1,1999-12-25,1999-12-29
55511,Thonnelle,1,1999-12-25,1999-12-29
55515,Trésauvaux,1,1999-12-25,1999-12-29
55528,Varnéville,1,1999-12-25,1999-12-29
55531,Vassincourt,1,1999-12-25,1999-12-29
55534,Vaudeville-le-Haut,1,1999-12-25,1999-12-29
55535,Vaudoncourt,1,1999-12-25,1999-12-29
55540,Vaux-lès-Palameix,1,1999-12-25,1999-12-29
55547,Verneuil-Petit,1,1999-12-25,1999-12-29
55559,Villeroy-sur-Méholle,1,1999-12-25,1999-12-29
55562,Villers-le-Sec,1,1999-12-25,1999-12-29
55565,Villers-sous-Pareid,1,1999-12-25,1999-12-29
55570,Villotte-sur-Aire,1,1999-12-25,1999-12-29
55575,Vouthon-Haut,1,1999-12-25,1999-12-29
55581,Willeroncourt,1,1999-12-25,1999-12-29
55584,Woimbey,1,1999-12-25,1999-12-29
55586,Xivray-et-Marvoisin,1,1999-12-25,1999-12-29
56002,Ambon,1,1999-12-25,1999-12-29
56006,Augan,1,1999-12-25,1999-12-29
56012,Beignon,1,1999-12-25,1999-12-29
56015,Berric,1,1999-12-25,1999-12-29
56021,Brandérion,1,1999-12-25,1999-12-29
56025,Brignac,1,1999-12-25,1999-12-29
56054,Erdeven,1,1999-12-25,1999-12-29
56055,Étel,1,1999-12-25,1999-12-29
56058,Férel,1,1999-12-25,1999-12-29
56062,Gâvres,1,1999-12-25,1999-12-29
56065,Gourhel,1,1999-12-25,1999-12-29
56069,Groix,1,1999-12-25,1999-12-29
56084,Le Hézo,1,1999-12-25,1999-12-29
56085,Hœdic,1,1999-12-25,1999-12-29
56086,Île-d'Houat,1,1999-12-25,1999-12-29
56087,Île-aux-Moines,1,1999-12-25,1999-12-29
56088,Île-d'Arz,1,1999-12-25,1999-12-29
56094,Kervignac,1,1999-12-25,1999-12-29
56096,Landaul,1,1999-12-25,1999-12-29
56113,Locmalo,1,1999-12-25,1999-12-29
56114,Locmaria,1,1999-12-25,1999-12-29
56116,Locmariaquer,1,1999-12-25,1999-12-29
56118,Locmiquélic,1,1999-12-25,1999-12-29
56119,Locoal-Mendon,1,1999-12-25,1999-12-29
56129,Ménéac,1,1999-12-25,1999-12-29
56130,Merlevenez,1,1999-12-25,1999-12-29
56132,Meucon,1,1999-12-25,1999-12-29
56136,Monteneuf,1,1999-12-25,1999-12-29
56148,Nostang,1,1999-12-25,1999-12-29
56158,Plescop,1,1999-12-25,1999-12-29
56161,Ploemel,1,1999-12-25,1999-12-29
56162,Ploemeur,1,1999-12-25,1999-12-29
56167,Plougoumelen,1,1999-12-25,1999-12-29
56168,Plouharnel,1,1999-12-25,1999-12-29
56169,Plouhinec,1,1999-12-25,1999-12-29
56185,Quéven,1,1999-12-25,1999-12-29
56191,Réminiac,1,1999-12-25,1999-12-29
56200,Ruffiac,1,1999-12-25,1999-12-29
56208,Saint-Brieuc-de-Mauron,1,1999-12-25,1999-12-29
56209,Sainte-Brigitte,1,1999-12-25,1999-12-29
56214,Saint-Gildas-de-Rhuys,1,1999-12-25,1999-12-29
56220,Sainte-Hélène,1,1999-12-25,1999-12-29
56233,Saint-Philibert,1,1999-12-25,1999-12-29
56255,Treffléan,1,1999-12-25,1999-12-29
56258,La Trinité-sur-Mer,1,1999-12-25,1999-12-29
56261,La Vraie-Croix,1,1999-12-25,1999-12-29
56262,Bono,1,1999-12-25,1999-12-29
56263,Sainte-Anne-d'Auray,1,1999-12-25,1999-12-29
57017,Amanvillers,1,1999-12-25,1999-12-29
57022,Angevillers,1,1999-12-25,1999-12-29
57041,Aumetz,1,1999-12-25,1999-12-29
57058,Behren-lès-Forbach,1,1999-12-25,1999-12-29
57105,Boustroff,1,1999-12-25,1999-12-29
57111,Bronvaux,1,1999-12-25,1999-12-29
57174,Destry,1,1999-12-25,1999-12-29
57178,Diffembach-lès-Hellimer,1,1999-12-25,1999-12-29
57188,Éguelshardt,1,1999-12-25,1999-12-29
57202,Etzling,1,1999-12-25,1999-12-29
57211,Fèves,1,1999-12-25,1999-12-29
57239,Freybouse,1,1999-12-25,1999-12-29
57248,Givrycourt,1,1983-05-23,1983-05-30
57305,Havange,1,1999-12-25,1999-12-29
57384,Laning,1,1999-12-25,1999-12-29
57390,Lemberg,1,1999-12-25,1999-12-29
57456,Meisenthal,1,1999-12-25,1999-12-29
57489,Mouterhouse,1,1999-12-25,1999-12-29
57521,Œting,1,1999-12-25,1999-12-29
57541,Philippsbourg,1,1999-12-25,1999-12-29
57546,Plesnois,1,1999-12-25,1999-12-29
57560,Racrange,1,1999-12-25,1999-12-29
57565,Rédange,1,1999-12-25,1999-12-29
57586,Rochonvillers,1,1999-12-25,1999-12-29
57593,Roncourt,1,1999-12-25,1999-12-29
57594,Roppeviller,1,1999-12-25,1999-12-29
57603,Russange,1,1999-12-25,1999-12-29
57661,Sturzelbronn,1,1999-12-25,1999-12-29
57765,Diesen,1,1999-12-25,1999-12-29
59006,Amfroipret,1,1999-12-25,1999-12-29
59007,Anhiers,1,1999-12-25,1999-12-29
59010,Anneux,1,1999-12-25,1999-12-29
59023,Aubencheul-au-Bac,1,1999-12-25,1999-12-29
59026,Aubigny-au-Bac,1,1999-12-25,1999-12-29
59027,Aubry-du-Hainaut,1,1999-12-25,1999-12-29
59031,Audignies,1,1999-12-25,1999-12-29
59038,Avesnes-le-Sec,1,1999-12-25,1999-12-29
59045,Baives,1,1999-12-25,1999-12-29
59059,Beaumont-en-Cambrésis,1,1999-12-25,1999-12-29
59060,Beaurain,1,1999-12-25,1999-12-29
59061,Beaurepaire-sur-Sambre,1,1999-12-25,1999-12-29
59066,Bérelles,1,1999-12-25,1999-12-29
59069,Bermerain,1,1999-12-25,1999-12-29
59070,Bermeries,1,1999-12-25,1999-12-29
59073,Berthen,1,1999-12-25,1999-12-29
59074,Bertry,1,1999-12-25,1999-12-29
59075,Béthencourt,1,1999-12-25,1999-12-29
59077,Bettrechies,1,1999-12-25,1999-12-29
59082,Bierne,1,1999-12-25,1999-12-29
59083,Bissezeele,1,1999-12-25,1999-12-29
59099,Bousies,1,1999-12-25,1999-12-29
59100,Bousignies,1,1999-12-25,1999-12-29
59102,Boussières-en-Cambrésis,1,1999-12-25,1999-12-29
59108,Briastre,1,1999-12-25,1999-12-29
59109,Brillon,1,1999-12-25,1999-12-29
59114,Bruille-Saint-Amand,1,1999-12-25,1999-12-29
59127,Capelle,1,1999-12-25,1999-12-29
59130,Cappelle-Brouck,1,1999-12-25,1999-12-29
59132,Carnières,1,1999-12-25,1999-12-29
59133,Carnin,1,1999-12-25,1999-12-29
59136,Le Cateau-Cambrésis,1,1999-12-25,1999-12-29
59138,Cattenières,1,1999-12-25,1999-12-29
59147,Choisies,1,1999-12-25,1999-12-29
59164,Croix-Caluyau,1,1999-12-25,1999-12-29
59176,Doignies,1,1999-12-25,1999-12-29
59185,Écaillon,1,1999-12-25,1999-12-29
59187,Éclaibes,1,1999-12-25,1999-12-29
59191,Élincourt,1,1999-12-25,1999-12-29
59192,Émerchicourt,1,1999-12-25,1999-12-29
59194,Englefontaine,1,1999-12-25,1999-12-29
59199,Erchin,1,1999-12-25,1999-12-29
59204,Escarmain,1,1999-12-25,1999-12-29
59207,Escautpont,1,1999-12-25,1999-12-29
59211,Esquerchin,1,1999-12-25,1999-12-29
59213,Estourmel,1,1999-12-25,1999-12-29
59223,Le Favril,1,1999-12-25,1999-12-29
59224,Féchain,1,1999-12-25,1999-12-29
59228,Férin,1,1999-12-25,1999-12-29
59232,La Flamengrie,1,1999-12-25,1999-12-29
59236,Flesquières,1,1999-12-25,1999-12-29
59240,Floursies,1,1999-12-25,1999-12-29
59242,Fontaine-au-Bois,1,1999-12-25,1999-12-29
59246,Forest-en-Cambrésis,1,1999-12-25,1999-12-29
59253,Fresnes-sur-Escaut,1,1999-12-25,1999-12-29
59267,Gonnelieu,1,1999-12-25,1999-12-29
59271,Grande-Synthe,1,1999-12-25,1999-12-29
59272,Grand-Fort-Philippe,1,1999-12-25,1999-12-29
59283,Hargnies,1,1999-12-25,1999-12-29
59287,Haucourt-en-Cambrésis,1,1999-12-25,1999-12-29
59290,Haut-Lieu,1,1999-12-25,1999-12-29
59294,Haynecourt,1,1999-12-25,1999-12-29
59300,Hem-Lenglet,1,1999-12-25,1999-12-29
59301,Hergnies,1,1999-12-25,1999-12-29
59311,Honnechy,1,1999-12-25,1999-12-29
59333,Larouillies,1,1999-12-25,1999-12-29
59334,Lauwin-Planque,1,1999-12-25,1999-12-29
59341,Lesdain,1,1999-12-25,1999-12-29
59372,Malincourt,1,1999-12-25,1999-12-29
59379,Marcq-en-Ostrevent,1,1999-12-25,1999-12-29
59381,Maresches,1,1999-12-25,1999-12-29
59390,Masny,1,1999-12-25,1999-12-29
59393,Maulde,1,1999-12-25,1999-12-29
59395,Mazinghien,1,1999-12-25,1999-12-29
59409,Monchecourt,1,1999-12-25,1999-12-29
59418,Mortagne-du-Nord,1,1999-12-25,1999-12-29
59430,Neuvilly,1,1999-12-25,1999-12-29
59437,Noyelles-lès-Seclin,1,1999-12-25,1999-12-29
59438,Noyelles-sur-Escaut,1,1999-12-25,1999-12-29
59444,Odomez,1,1999-12-25,1999-12-29
59445,Ohain,1,1999-12-25,1999-12-29
59446,Oisy,1,1999-12-25,1999-12-29
59464,Poix-du-Nord,1,1999-12-25,1999-12-29
59465,Pommereuil,1,1999-12-25,1999-12-29
59472,Preux-au-Bois,1,1999-12-25,1999-12-29
59479,Quarouble,1,1999-12-25,1999-12-29
59488,Raillencourt-Sainte-Olle,1,1999-12-25,1999-12-29
59490,Rainsars,1,1999-12-25,1999-12-29
59498,Reumont,1,1999-12-25,1999-12-29
59503,Robersart,1,1999-12-25,1999-12-29
59506,Romeries,1,1999-12-25,1999-12-29
59513,Roucourt,1,1999-12-25,1999-12-29
59515,Rouvignies,1,1999-12-25,1999-12-29
59517,Les Rues-des-Vignes,1,1999-12-25,1999-12-29
59528,Saint-Aubert,1,1999-12-25,1999-12-29
59531,Saint-Benin,1,1999-12-25,1999-12-29
59532,Saint-Georges-sur-l'Aa,1,1999-12-25,1999-12-29
59533,Saint-Hilaire-lez-Cambrai,1,1999-12-25,1999-12-29
59536,Sainte-Marie-Cappel,1,1999-12-25,1999-12-29
59545,Saint-Souplet,1,1999-12-25,1999-12-29
59547,Saint-Vaast-en-Cambrésis,1,1999-12-25,1999-12-29
59549,Salesches,1,1999-12-25,1999-12-29
59550,Salomé,1,1999-12-25,1999-12-29
59564,La Sentinelle,1,1999-12-25,1999-12-29
59565,Sepmeries,1,1999-12-25,1999-12-29
59567,Séranvillers-Forenville,1,1999-12-25,1999-12-29
59592,Thumeries,1,1999-12-25,1999-12-29
59594,Thun-Saint-Amand,1,1999-12-25,1999-12-29
59597,Tilloy-lez-Cambrai,1,1999-12-25,1999-12-29
59604,Troisvilles,1,1999-12-25,1999-12-29
59605,Uxem,1,1999-12-25,1999-12-29
