jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_departments,exact_date_department_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank
WD_MERGE_2020-11-09---2021-01-04_duration_56_days_cluster_393_A0_000699_A_000848_lat_05106_lon_-0049_size_0220,INTE2104714A__20201228__20201229,INTE2104714A,2020-11-09,2021-01-04,2020-12-28,2020-12-29,2,0,0,0,2,49.0,6.0,55.0,55,2,2020-11-09,2021-01-04,766,38,38,2020-12-28,2020-12-29,5,2,0.05263157894736842,1.0,1
WD_MERGE_2023-11-27---2023-12-25_duration_28_days_cluster_355_A0_001153_A_001442_lat_04922_lon_00020_size_0374,IOME2400969A__20231206__20231224,IOME2400969A,2023-11-27,2023-12-25,2023-12-06,2023-12-24,2,0,0,0,2,9.0,1.0,10.0,10,19,2023-11-27,2023-12-25,1491,44,44,2023-12-06,2023-12-24,42,2,0.045454545454545456,1.0,1
WD_MERGE_2018-03-05---2018-04-09_duration_35_days_cluster_365_A0_000792_A_001016_lat_04859_lon_00099_size_0343,INTE1813670A__20180311__20180311,INTE1813670A,2018-03-05,2018-04-09,2018-03-11,2018-03-11,2,0,0,0,2,6.0,29.0,35.0,35,1,2018-03-05,2018-04-09,1386,46,46,2018-03-11,2018-03-11,8,2,0.043478260869565216,1.0,1
WD_MERGE_2016-02-08---2016-03-21_duration_42_days_cluster_299_A0_000993_A_001287_lat_04880_lon_00221_size_0343,INTE1610580A__20160209__20160209,INTE1610580A,2016-02-08,2016-03-21,2016-02-09,2016-02-09,2,0,0,0,2,1.0,41.0,42.0,42,1,2016-02-08,2016-03-21,1894,52,52,2016-02-09,2016-02-09,3,2,0.038461538461538464,1.0,1
WD_MERGE_2023-10-09---2023-11-27_duration_35_days_cluster_346_A0_001489_A_001868_lat_04874_lon_00161_size_0346,IOME2333648A__20231102__20231124,IOME2333648A,2023-10-09,2023-11-27,2023-11-02,2023-11-24,2,0,0,0,2,24.0,3.0,27.0,27,23,2023-10-09,2023-11-27,2204,53,53,2023-11-02,2023-11-24,21,2,0.03773584905660377,1.0,1
WD_MERGE_2024-02-19---2024-03-18_duration_21_days_cluster_347_A0_000534_A_000577_lat_04734_lon_00149_size_0292,IOME2410378A__20240309__20240310,IOME2410378A,2024-02-19,2024-03-18,2024-03-09,2024-03-10,2,0,0,0,2,19.0,8.0,27.0,27,2,2024-02-19,2024-03-18,1245,54,54,2024-03-09,2024-03-10,5,3,0.037037037037037035,0.6666666666666666,1
WD_MERGE_2017-08-28---2017-09-04_duration_7_days_cluster_209_A0_000001_A_000001_lat_04469_lon_-0071_size_0006,INTE1727357A__20170827__20170827,INTE1727357A,2017-08-28,2017-09-04,2017-08-27,2017-08-27,1,0,0,0,1,1.0,8.0,9.0,9,0,2017-08-28,2017-09-04,7,1,1,2017-08-27,2017-08-27,1,1,1.0,1.0,1
WD_MERGE_2015-04-27---2015-06-08_duration_35_days_cluster_091_A0_000792_A_000893_lat_03855_lon_-0501_size_0313,INTE1523044A__20150611__20150613,INTE1523044A,2015-04-27,2015-06-08,2015-06-11,2015-06-13,1,0,0,0,1,45.0,5.0,50.0,50,0,2015-04-27,2015-06-08,4,1,1,2015-06-11,2015-06-13,1,1,1.0,1.0,1
WD_MERGE_2024-01-01---2024-04-01_duration_91_days_cluster_332_A0_000692_A_000753_lat_05333_lon_-0217_size_0189,INTE2501371A__20240114__20240214,INTE2501371A,2024-01-01,2024-04-01,2024-01-14,2024-02-14,1,0,0,0,1,13.0,47.0,60.0,60,32,2024-01-01,2024-04-01,7,1,1,2024-01-14,2024-02-14,1,1,1.0,1.0,1
WD_MERGE_2016-05-23---2016-05-30_duration_7_days_cluster_107_A0_000001_A_000001_lat_04838_lon_-0485_size_0004,INTE1625246A__20160526__20160526,INTE1625246A,2016-05-23,2016-05-30,2016-05-26,2016-05-26,1,0,1,1,1,3.0,4.0,7.0,7,1,2016-05-23,2016-05-30,4,1,1,2016-05-26,2016-05-26,3,2,1.0,0.5,1
WD_MERGE_2018-07-02---2018-07-23_duration_21_days_cluster_130_A0_000031_A_000040_lat_05104_lon_-0076_size_0057,INTE1824833A__20180701__20180702,INTE1824833A,2018-07-02,2018-07-23,2018-07-01,2018-07-02,1,0,0,0,1,1.0,21.0,22.0,22,1,2018-07-02,2018-07-23,4,1,1,2018-07-01,2018-07-02,3,2,1.0,0.5,1
WD_MERGE_2022-08-29---2022-09-05_duration_7_days_cluster_207_A0_000002_A_000002_lat_04881_lon_-0354_size_0001,IOME2229183A__20220902__20220902,IOME2229183A,2022-08-29,2022-09-05,2022-09-02,2022-09-02,1,0,1,1,1,4.0,3.0,7.0,7,1,2022-08-29,2022-09-05,8,1,1,2022-09-02,2022-09-02,6,5,1.0,0.2,1
WD_MERGE_2017-05-22---2017-05-29_duration_7_days_cluster_115_A0_000008_A_000010_lat_04860_lon_-0387_size_0033,INTE1726132A__20170528__20170528,INTE1726132A,2017-05-22,2017-05-29,2017-05-28,2017-05-28,1,0,1,1,1,6.0,1.0,7.0,7,1,2017-05-22,2017-05-29,51,2,2,2017-05-28,2017-05-28,1,1,0.5,1.0,1
WD_MERGE_2020-05-04---2020-05-11_duration_7_days_cluster_108_A0_000022_A_000030_lat_05090_lon_-0403_size_0096,INTE2014521A__20200509__20200509,INTE2014521A,2020-05-04,2020-05-11,2020-05-09,2020-05-09,1,0,1,1,1,5.0,2.0,7.0,7,1,2020-05-04,2020-05-11,25,2,2,2020-05-09,2020-05-09,5,1,0.5,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2104714A__20201231__20210105,INTE2104714A,2021-01-04,2021-01-11,2020-12-31,2021-01-05,1,0,1,0,1,4.0,6.0,10.0,10,2,2021-01-04,2021-01-11,51,2,2,2020-12-31,2021-01-05,1,1,0.5,1.0,1
WD_MERGE_2018-10-29---2018-11-12_duration_14_days_cluster_271_A0_000043_A_000064_lat_04503_lon_00990_size_0026,INTE1835008A__20181031__20181101,INTE1835008A,2018-10-29,2018-11-12,2018-10-31,2018-11-01,1,0,0,0,1,2.0,11.0,13.0,13,2,2018-10-29,2018-11-12,3,2,2,2018-10-31,2018-11-01,3,1,0.5,1.0,1
WD_MERGE_2024-10-07---2024-10-28_duration_21_days_cluster_225_A0_000049_A_000052_lat_04056_lon_-0050_size_0147,INTE2501371A__20241015__20241017,INTE2501371A,2024-10-07,2024-10-28,2024-10-15,2024-10-17,1,0,0,0,1,8.0,11.0,19.0,19,3,2024-10-07,2024-10-28,44,2,2,2024-10-15,2024-10-17,1,1,0.5,1.0,1
WD_MERGE_2021-10-18---2021-11-15_duration_21_days_cluster_269_A0_000215_A_000262_lat_05326_lon_-0331_size_0252,INTE2201262A__20211104__20211105,INTE2201262A,2021-10-18,2021-11-15,2021-11-04,2021-11-05,1,0,0,0,1,17.0,10.0,27.0,27,2,2021-10-18,2021-11-15,14,2,2,2021-11-04,2021-11-05,1,1,0.5,1.0,1
WD_MERGE_2023-10-16---2023-11-13_duration_28_days_cluster_284_A0_000141_A_000190_lat_04537_lon_01363_size_0211,INTE2517855A__20231112__20231113,INTE2517855A,2023-10-16,2023-11-13,2023-11-12,2023-11-13,1,0,0,0,1,27.0,0.0,27.0,27,2,2023-10-16,2023-11-13,5,2,2,2023-11-12,2023-11-13,1,1,0.5,1.0,1
WD_MERGE_2020-10-05---2020-11-23_duration_42_days_cluster_281_A0_000109_A_000141_lat_04046_lon_-0199_size_0217,INTE2034504A__20201002__20201004,INTE2034504A,2020-10-05,2020-11-23,2020-10-02,2020-10-04,1,0,0,0,1,3.0,50.0,53.0,53,0,2020-10-05,2020-11-23,71,2,2,2020-10-02,2020-10-04,1,1,0.5,1.0,1
WD_MERGE_2018-01-01---2018-03-05_duration_63_days_cluster_350_A0_000423_A_000524_lat_05321_lon_-0559_size_0201,INTE1831446A__20180103__20180105,INTE1831446A,2018-01-01,2018-03-05,2018-01-03,2018-01-05,1,0,0,0,1,2.0,59.0,61.0,61,3,2018-01-01,2018-03-05,8,2,2,2018-01-03,2018-01-05,1,1,0.5,1.0,1
WD_MERGE_2015-03-09---2015-03-23_duration_14_days_cluster_049_A0_000013_A_000015_lat_04378_lon_-0112_size_0017,INTE1701176A__20150304__20150525,INTE1701176A,2015-03-09,2015-03-23,2015-03-04,2015-05-25,1,0,0,0,1,5.0,63.0,68.0,68,15,2015-03-09,2015-03-23,30,2,2,2015-03-04,2015-05-25,1,1,0.5,1.0,1
WD_MERGE_2022-05-30---2022-06-06_duration_7_days_cluster_112_A0_000004_A_000004_lat_04877_lon_-0364_size_0007,IOME2221479A__20220603__20220603,IOME2221479A,2022-05-30,2022-06-06,2022-06-03,2022-06-03,1,0,1,1,1,4.0,3.0,7.0,7,1,2022-05-30,2022-06-06,18,2,2,2022-06-03,2022-06-03,8,2,0.5,0.5,1
