jrc_event_id,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments
WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_287_A0_000003_A_000004_lat_04875_lon_-0370_size_0012,2016-12-26,2017-01-02,14,2,2
WD_MERGE_2016-12-26---2017-01-02_duration_7_days_cluster_289_A0_000003_A_000004_lat_04432_lon_00463_size_0093,2016-12-26,2017-01-02,27,4,4
WD_MERGE_2016-12-26---2017-01-23_duration_28_days_cluster_341_A0_000718_A_000902_lat_05400_lon_01526_size_0438,2016-12-26,2017-01-23,153,12,12
WD_MERGE_2017-01-02---2017-01-09_duration_7_days_cluster_006_A0_000001_A_000001_lat_04742_lon_00031_size_0005,2017-01-02,2017-01-09,8,2,2
WD_MERGE_2017-01-09---2017-01-16_duration_7_days_cluster_013_A0_000005_A_000007_lat_04866_lon_-0342_size_0140,2017-01-09,2017-01-16,41,2,2
WD_MERGE_2017-01-16---2017-01-23_duration_7_days_cluster_020_A0_000005_A_000005_lat_04365_lon_00494_size_0055,2017-01-16,2017-01-23,21,7,7
WD_MERGE_2017-01-23---2017-03-27_duration_56_days_cluster_342_A0_000261_A_000316_lat_05149_lon_-0337_size_0310,2017-01-23,2017-03-27,225,16,16
WD_MERGE_2017-01-30---2017-02-06_duration_7_days_cluster_041_A0_000003_A_000003_lat_04364_lon_00425_size_0004,2017-01-30,2017-02-06,11,4,4
WD_MERGE_2017-02-13---2017-02-20_duration_7_days_cluster_048_A0_000014_A_000017_lat_04711_lon_00526_size_0013,2017-02-13,2017-02-20,42,4,4
WD_MERGE_2017-02-20---2017-04-10_duration_42_days_cluster_350_A0_000378_A_000500_lat_05217_lon_00437_size_0536,2017-02-20,2017-04-10,495,41,41
WD_MERGE_2017-03-06---2017-03-20_duration_14_days_cluster_058_A0_000040_A_000055_lat_04834_lon_-0141_size_0114,2017-03-06,2017-03-20,109,8,8
WD_MERGE_2017-03-20---2017-03-27_duration_7_days_cluster_071_A0_000002_A_000002_lat_04409_lon_00031_size_0045,2017-03-20,2017-03-27,45,5,5
WD_MERGE_2017-04-24---2017-05-15_duration_21_days_cluster_098_A0_000128_A_000144_lat_04437_lon_00721_size_0233,2017-04-24,2017-05-15,23,5,5
WD_MERGE_2017-05-22---2017-05-29_duration_7_days_cluster_115_A0_000008_A_000010_lat_04860_lon_-0387_size_0033,2017-05-22,2017-05-29,51,2,2
WD_MERGE_2017-06-05---2017-06-12_duration_7_days_cluster_126_A0_000001_A_000001_lat_04687_lon_-0205_size_0001,2017-06-05,2017-06-12,7,1,1
