jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_communes,exact_date_commune_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,gaspar_match_rank
WD_MERGE_2024-10-07---2024-10-28_duration_21_days_cluster_225_A0_000049_A_000052_lat_04056_lon_-0050_size_0147,INTE2511307A__20241016__20241016,INTE2511307A,2024-10-07,2024-10-28,2024-10-16,2024-10-16,1,0,0,0,1,9.0,12.0,21.0,21,1,2024-10-07,2024-10-28,44,2,2,2024-10-16,2024-10-16,1,1,0.022727272727272728,1.0,1
WD_MERGE_2024-10-07---2024-10-28_duration_21_days_cluster_225_A0_000049_A_000052_lat_04056_lon_-0050_size_0147,INTE2501371A__20241016__20241018,INTE2501371A,2024-10-07,2024-10-28,2024-10-16,2024-10-18,1,0,0,0,1,9.0,10.0,19.0,19,3,2024-10-07,2024-10-28,44,2,2,2024-10-16,2024-10-18,2,1,0.022727272727272728,0.5,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2328840A__20230620__20230623,IOME2328840A,2023-06-19,2023-06-26,2023-06-20,2023-06-23,1,0,1,1,1,1.0,3.0,4.0,4,4,2023-06-19,2023-06-26,50,5,5,2023-06-20,2023-06-23,1,1,0.02,1.0,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2325523A__20230621__20230621,IOME2325523A,2023-06-19,2023-06-26,2023-06-21,2023-06-21,1,0,1,1,1,2.0,5.0,7.0,7,1,2023-06-19,2023-06-26,50,5,5,2023-06-21,2023-06-21,1,1,0.02,1.0,1
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2327460A__20230620__20230620,IOME2327460A,2023-06-19,2023-06-26,2023-06-20,2023-06-20,1,0,1,1,1,1.0,6.0,7.0,7,1,2023-06-19,2023-06-26,50,5,5,2023-06-20,2023-06-20,3,2,0.02,0.3333333333333333,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2105706A__20201231__20210105,INTE2105706A,2021-01-04,2021-01-11,2020-12-31,2021-01-05,1,0,1,0,1,4.0,6.0,10.0,10,2,2021-01-04,2021-01-11,51,2,2,2020-12-31,2021-01-05,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2104714A__20210101__20210103,INTE2104714A,2021-01-04,2021-01-11,2021-01-01,2021-01-03,1,0,0,0,1,3.0,8.0,11.0,11,0,2021-01-04,2021-01-11,51,2,2,2021-01-01,2021-01-03,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2104714A__20201230__20210104,INTE2104714A,2021-01-04,2021-01-11,2020-12-30,2021-01-04,1,0,1,0,1,5.0,7.0,12.0,12,1,2021-01-04,2021-01-11,51,2,2,2020-12-30,2021-01-04,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2105706A__20201228__20210106,INTE2105706A,2021-01-04,2021-01-11,2020-12-28,2021-01-06,1,0,1,0,1,7.0,5.0,12.0,12,3,2021-01-04,2021-01-11,51,2,2,2020-12-28,2021-01-06,1,1,0.0196078431372549,1.0,1
WD_MERGE_2021-01-04---2021-01-11_duration_7_days_cluster_008_A0_000021_A_000027_lat_04372_lon_-0112_size_0010,INTE2105706A__20201230__20210104,INTE2105706A,2021-01-04,2021-01-11,2020-12-30,2021-01-04,1,0,1,0,1,5.0,7.0,12.0,12,1,2021-01-04,2021-01-11,51,2,2,2020-12-30,2021-01-04,1,1,0.0196078431372549,1.0,1
