jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_departments,exact_date_department_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank,reciprocal_best_match
WD_MERGE_2022-10-31---2022-11-07_duration_7_days_cluster_272_A0_000001_A_000001_lat_04370_lon_00453_size_0035,IOME2235873A__20221101__20221101,IOME2235873A,2022-10-31,2022-11-07,2022-11-01,2022-11-01,2,0,2,2,2,1.0,6.0,7.0,7,1,2022-10-31,2022-11-07,11,4,4,2022-11-01,2022-11-01,5,2,0.5,1.0,1,True
WD_MERGE_2022-10-31---2022-11-07_duration_7_days_cluster_272_A0_000001_A_000001_lat_04370_lon_00453_size_0035,IOME2301092A__20221103__20221103,IOME2301092A,2022-10-31,2022-11-07,2022-11-03,2022-11-03,2,0,2,2,2,3.0,4.0,7.0,7,1,2022-10-31,2022-11-07,11,4,4,2022-11-03,2022-11-03,3,2,0.5,1.0,2,False
WD_MERGE_2024-08-19---2024-08-26_duration_7_days_cluster_170_A0_000005_A_000006_lat_04827_lon_-0328_size_0063,INTE2430293A__20240830__20240831,INTE2430293A,2024-08-19,2024-08-26,2024-08-30,2024-08-31,2,0,0,0,2,11.0,5.0,16.0,16,0,2024-08-19,2024-08-26,38,4,4,2024-08-30,2024-08-31,3,2,0.5,1.0,1,True
WD_MERGE_2016-05-30---2016-06-06_duration_7_days_cluster_110_A0_000048_A_000077_lat_04747_lon_-0062_size_0013,INTE1625246A__20160528__20160529,INTE1625246A,2016-05-30,2016-06-06,2016-05-28,2016-05-29,2,0,0,0,2,2.0,8.0,10.0,10,0,2016-05-30,2016-06-06,50,4,4,2016-05-28,2016-05-29,7,4,0.5,0.5,2,False
WD_MERGE_2023-06-19---2023-06-26_duration_7_days_cluster_140_A0_000004_A_000004_lat_04402_lon_00037_size_0043,IOME2320253A__20230620__20230622,IOME2320253A,2023-06-19,2023-06-26,2023-06-20,2023-06-22,2,0,2,2,2,1.0,4.0,5.0,5,3,2023-06-19,2023-06-26,50,5,5,2023-06-20,2023-06-22,96,2,0.4,1.0,1,True
WD_MERGE_2024-07-01---2024-07-08_duration_7_days_cluster_118_A0_000009_A_000009_lat_04830_lon_00554_size_0025,IOME2420215A__20240625__20240625,IOME2420215A,2024-07-01,2024-07-08,2024-06-25,2024-06-25,2,0,0,0,2,6.0,13.0,19.0,19,0,2024-07-01,2024-07-08,62,7,7,2024-06-25,2024-06-25,15,2,0.2857142857142857,1.0,1,True
WD_MERGE_2019-04-29---2019-06-17_duration_35_days_cluster_116_A0_000452_A_000518_lat_04056_lon_00008_size_0153,INTE1922702A__20190615__20190615,INTE1922702A,2019-04-29,2019-06-17,2019-06-15,2019-06-15,2,0,0,0,2,47.0,2.0,49.0,49,1,2019-04-29,2019-06-17,78,9,9,2019-06-15,2019-06-15,6,3,0.2222222222222222,0.6666666666666666,1,True
WD_MERGE_2024-05-27---2024-06-03_duration_7_days_cluster_078_A0_000026_A_000028_lat_04593_lon_-0081_size_0043,INTE2424582A__20240522__20240522,INTE2424582A,2024-05-27,2024-06-03,2024-05-22,2024-05-22,2,0,0,0,2,5.0,12.0,17.0,17,0,2024-05-27,2024-06-03,140,9,9,2024-05-22,2024-05-22,4,4,0.2222222222222222,0.5,1,False
WD_MERGE_2019-04-29---2019-06-17_duration_35_days_cluster_116_A0_000452_A_000518_lat_04056_lon_00008_size_0153,INTE1917689A__20190615__20190615,INTE1917689A,2019-04-29,2019-06-17,2019-06-15,2019-06-15,2,0,0,0,2,47.0,2.0,49.0,49,1,2019-04-29,2019-06-17,78,9,9,2019-06-15,2019-06-15,25,5,0.2222222222222222,0.4,2,False
WD_MERGE_2015-04-27---2015-05-11_duration_14_days_cluster_092_A0_000022_A_000031_lat_04846_lon_-0194_size_0116,INTE1517820A__20150503__20150505,INTE1517820A,2015-04-27,2015-05-11,2015-05-03,2015-05-05,2,0,2,0,2,6.0,6.0,12.0,12,3,2015-04-27,2015-05-11,103,10,10,2015-05-03,2015-05-05,3,2,0.2,1.0,1,True
