event_id,year,start_date,end_date,duration_days,cluster_id,n_tiles,n_tiles_processed,event_path,n_communes,communes,n_candidates_tested,n_overlap_skipped
2015-03-09---2015-03-23_cluster_49,2015,2015-03-09,2015-03-23,14,49,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-09---2015-03-23_duration_14_days_cluster_049_A0_000013_A_000015_lat_04378_lon_-0112_size_0017.tif,1,Tercis-les-Bains,815,813
2015-03-09---2015-03-23_cluster_51,2015,2015-03-09,2015-03-23,14,51,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-09---2015-03-23_duration_14_days_cluster_051_A0_000010_A_000014_lat_05395_lon_03856_size_0137.tif,0,,0,0
2015-03-09---2015-04-20_cluster_50,2015,2015-03-09,2015-04-20,35,50,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-09---2015-04-20_duration_35_days_cluster_050_A0_000046_A_000060_lat_05272_lon_00271_size_0172.tif,0,,234,597
2015-03-09---2015-04-20_cluster_338,2015,2015-03-09,2015-04-20,42,338,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-09---2015-04-20_duration_42_days_cluster_338_A0_001113_A_001251_lat_04129_lon_02707_size_0272.tif,0,,0,0
2015-03-16---2015-03-23_cluster_54,2015,2015-03-16,2015-03-23,7,54,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-16---2015-03-23_duration_7_days_cluster_054_A0_000020_A_000022_lat_03591_lon_-0588_size_0036.tif,0,,0,0
2015-03-16---2015-03-23_cluster_55,2015,2015-03-16,2015-03-23,7,55,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-16---2015-03-23_duration_7_days_cluster_055_A0_000001_A_000002_lat_04635_lon_00580_size_0044.tif,0,,5859,3089
2015-03-16---2015-03-23_cluster_56,2015,2015-03-16,2015-03-23,7,56,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-16---2015-03-23_duration_7_days_cluster_056_A0_000028_A_000030_lat_03704_lon_00980_size_0017.tif,0,,0,0
2015-03-16---2015-03-23_cluster_57,2015,2015-03-16,2015-03-23,7,57,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-16---2015-03-23_duration_7_days_cluster_057_A0_000003_A_000004_lat_06437_lon_01634_size_0023.tif,0,,0,0
2015-03-16---2015-03-23_cluster_58,2015,2015-03-16,2015-03-23,7,58,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-16---2015-03-23_duration_7_days_cluster_058_A0_000004_A_000005_lat_05661_lon_02930_size_0059.tif,0,,0,0
2015-03-23---2015-04-13_cluster_64,2015,2015-03-23,2015-04-13,21,64,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-23---2015-04-13_duration_21_days_cluster_064_A0_000084_A_000094_lat_03941_lon_04891_size_0021.tif,0,,0,0
2015-03-23---2015-04-13_cluster_339,2015,2015-03-23,2015-04-13,21,339,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-23---2015-04-13_duration_21_days_cluster_339_A0_000069_A_000089_lat_05332_lon_02417_size_0637.tif,0,,0,0
2015-03-30---2015-04-20_cluster_66,2015,2015-03-30,2015-04-20,21,66,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-30---2015-04-20_duration_21_days_cluster_066_A0_000010_A_000016_lat_05330_lon_-0812_size_0015.tif,0,,0,0
2015-03-30---2015-04-20_cluster_67,2015,2015-03-30,2015-04-20,21,67,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-03-30---2015-04-20_duration_21_days_cluster_067_A0_000002_A_000002_lat_04617_lon_00506_size_0023.tif,0,,5859,3089
2015-04-27---2015-05-11_cluster_92,2015,2015-04-27,2015-05-11,14,92,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-04-27---2015-05-11_duration_14_days_cluster_092_A0_000022_A_000031_lat_04846_lon_-0194_size_0116.tif,2,Créances; Tilleul-Dame-Agnès,4633,2726
2015-04-27---2015-05-11_cluster_93,2015,2015-04-27,2015-05-11,14,93,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-04-27---2015-05-11_duration_14_days_cluster_093_A0_000028_A_000040_lat_04688_lon_00519_size_0015.tif,5,Gigny-sur-Saône; Glanon; Marnay; Mont-lès-Seurre; Saunières,8249,4665
2015-04-27---2015-05-11_cluster_94,2015,2015-04-27,2015-05-11,14,94,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-04-27---2015-05-11_duration_14_days_cluster_094_A0_000005_A_000006_lat_05529_lon_02111_size_0123.tif,0,,0,0
2015-04-27---2015-06-08_cluster_91,2015,2015-04-27,2015-06-08,35,91,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-04-27---2015-06-08_duration_35_days_cluster_091_A0_000792_A_000893_lat_03855_lon_-0501_size_0313.tif,0,,815,3039
2015-05-04---2015-05-18_cluster_97,2015,2015-05-04,2015-05-18,14,97,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-05-04---2015-05-18_duration_14_days_cluster_097_A0_000017_A_000024_lat_05340_lon_-0792_size_0028.tif,0,,0,0
2015-05-04---2015-05-18_cluster_100,2015,2015-05-04,2015-05-18,14,100,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-05-04---2015-05-18_duration_14_days_cluster_100_A0_000049_A_000054_lat_04492_lon_01200_size_0009.tif,0,,0,0
