event_id,raster_file,raster_path,source_year_folder,start_date,end_date,duration_days,flood_id,gfm_extent_km2,enhanced_extent_km2,centroid_lat_cents,centroid_lon_cents,spatial_spread_units,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,max_depth_cm,flooded_pixels,flooded_area_m2,n_lau
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL2,Oost-Nederland,NL22,Gelderland,NL221,Veluwe,80.0,17,6800.0,2
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL2,Oost-Nederland,NL22,Gelderland,NL225,Achterhoek,42.0,8,3200.0,1
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL2,Oost-Nederland,NL23,Flevoland,NL230,Flevoland,47.0,90,36000.0,1
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL3,West-Nederland,NL32,Noord-Holland,NL321,Kop van Noord-Holland,24.0,561,224400.0,4
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL3,West-Nederland,NL34,Zeeland,NL342,Overig Zeeland,123.0,227,90800.0,2
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL3,West-Nederland,NL36,Zuid-Holland,NL366,Groot-Rijnmond,72.0,2798,1119200.0,4
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL4,Zuid-Nederland,NL41,Noord-Brabant,NL414,Zuidoost-Noord-Brabant,35.0,73,29200.0,1
WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099,WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-12_duration_14_days_cluster_002_A0_000002_A_000002_lat_05241_lon_00527_size_0099.tif,2015,2014-12-29,2015-01-12,14,2,2,2,5241,527,99,NL,Nederland,NL4,Zuid-Nederland,NL42,Limburg (NL),NL421,Noord-Limburg,378.0,222,88800.0,3
WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081,WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,2015,2014-12-29,2015-01-19,14,5,23,26,5724,2345,81,EE,Eesti,EE0,Eesti,EE00,Eesti,EE004,Lääne-Eesti,131.0,7889,3155600.0,10
WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081,WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,2015,2014-12-29,2015-01-19,14,5,23,26,5724,2345,81,EE,Eesti,EE0,Eesti,EE00,Eesti,EE008,Lõuna-Eesti,111.0,4132,1652800.0,8
WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081,WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,D:\M2_MoSEF\DataCollection\data\JRC_flood_depth_maps\2015\WD_MERGE_2014-12-29---2015-01-19_duration_14_days_cluster_005_A0_000023_A_000026_lat_05724_lon_02345_size_0081.tif,2015,2014-12-29,2015-01-19,14,5,23,26,5724,2345,81,EE,Eesti,EE0,Eesti,EE00,Eesti,EE009,Kesk-Eesti,15.0,14,5600.0,1
