jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_communes,exact_date_commune_matches,jrc_match_share,gaspar_match_share,min_total_abs_date_diff_days,mean_total_abs_date_diff_days,max_interval_overlap_days,reciprocal_best_match
WD_MERGE_2022-11-14---2022-11-21_duration_7_days_cluster_281_A0_000002_A_000002_lat_04367_lon_00454_size_0030,IOME2235873A__20221109__20221109,IOME2235873A,2022-11-14,2022-11-21,2022-11-09,2022-11-09,1,0,0.07142857142857142,0.2,17,17.0,0,False
WD_MERGE_2022-05-30---2022-06-06_duration_7_days_cluster_112_A0_000004_A_000004_lat_04877_lon_-0364_size_0007,INTE2217496A__20220603__20220605,INTE2217496A,2022-05-30,2022-06-06,2022-06-03,2022-06-05,1,0,0.05555555555555555,0.038461538461538464,5,5.0,3,True
WD_MERGE_2022-06-27---2022-07-04_duration_7_days_cluster_142_A0_000002_A_000002_lat_04661_lon_00394_size_0035,IOME2226252A__20220622__20220622,IOME2226252A,2022-06-27,2022-07-04,2022-06-22,2022-06-22,1,0,0.03333333333333333,0.2,17,17.0,0,True
WD_MERGE_2023-04-24---2023-06-05_duration_42_days_cluster_077_A0_000314_A_000408_lat_04477_lon_01163_size_0382,IOME2318044A__20230612__20230612,IOME2318044A,2023-04-24,2023-06-05,2023-06-12,2023-06-12,1,0,0.03225806451612903,1.0,56,56.0,0,True
WD_MERGE_2024-08-19---2024-08-26_duration_7_days_cluster_170_A0_000005_A_000006_lat_04827_lon_-0328_size_0063,INTE2430293A__20240830__20240831,INTE2430293A,2024-08-19,2024-08-26,2024-08-30,2024-08-31,1,0,0.02631578947368421,0.3333333333333333,16,16.0,0,True
WD_MERGE_2024-10-07---2024-10-21_duration_14_days_cluster_226_A0_000009_A_000009_lat_04785_lon_-0287_size_0091,INTE2430293A__20241008__20241008,INTE2430293A,2024-10-07,2024-10-21,2024-10-08,2024-10-08,1,0,0.0196078431372549,0.3333333333333333,14,14.0,1,True
WD_MERGE_2021-06-07---2021-06-14_duration_7_days_cluster_118_A0_000014_A_000019_lat_04889_lon_-0211_size_0051,INTE2122730A__20210617__20210617,INTE2122730A,2021-06-07,2021-06-14,2021-06-17,2021-06-17,1,0,0.016129032258064516,1.0,13,13.0,0,True
WD_MERGE_2020-10-05---2020-11-23_duration_42_days_cluster_281_A0_000109_A_000141_lat_04046_lon_-0199_size_0217,INTE2034504A__20201002__20201004,INTE2034504A,2020-10-05,2020-11-23,2020-10-02,2020-10-04,1,0,0.014084507042253521,1.0,53,53.0,0,True
WD_MERGE_2016-10-03---2016-10-24_duration_21_days_cluster_219_A0_000014_A_000016_lat_04436_lon_00249_size_0244,INTE1637220A__20161001__20161001,INTE1637220A,2016-10-03,2016-10-24,2016-10-01,2016-10-01,1,0,0.013513513513513514,1.0,25,25.0,0,True
WD_MERGE_2024-11-18---2024-12-16_duration_28_days_cluster_280_A0_000447_A_000487_lat_05182_lon_-0322_size_0147,INTE2505371A__20241207__20241208,INTE2505371A,2024-11-18,2024-12-16,2024-12-07,2024-12-08,1,0,0.006134969325153374,1.0,27,27.0,2,True
WD_MERGE_2024-01-01---2024-02-19_duration_35_days_cluster_334_A0_002595_A_002920_lat_05238_lon_01260_size_0503,IOME2407754A__20240103__20240105,IOME2407754A,2024-01-01,2024-02-19,2024-01-03,2024-01-05,1,0,0.004784688995215311,1.0,47,47.0,3,True
WD_MERGE_2024-05-13---2024-05-20_duration_7_days_cluster_070_A0_000052_A_000061_lat_04719_lon_00110_size_0066,INTE2424582A__20240520__20240520,INTE2424582A,2024-05-13,2024-05-20,2024-05-20,2024-05-20,1,0,0.0047169811320754715,0.3333333333333333,7,7.0,1,True
WD_MERGE_2020-09-28---2020-11-30_duration_63_days_cluster_273_A0_000452_A_000562_lat_05173_lon_-0314_size_0364,INTE2027600A__20200923__20200923,INTE2027600A,2020-09-28,2020-11-30,2020-09-23,2020-09-23,1,0,0.00390625,1.0,73,73.0,0,True
WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_264_A0_000092_A_000121_lat_04596_lon_00440_size_0115,INTE1711727A__20161121__20161123,INTE1711727A,2016-11-21,2016-11-28,2016-11-21,2016-11-23,1,0,0.0028328611898017,0.5,5,5.0,3,True
WD_MERGE_2023-11-27---2024-01-01_duration_35_days_cluster_356_A0_002381_A_002991_lat_05205_lon_01175_size_0268,INTE2517855A__20231031__20231129,INTE2517855A,2023-11-27,2024-01-01,2023-10-31,2023-11-29,1,0,0.001364256480218281,0.5,60,60.0,3,True
WD_MERGE_2020-11-09---2021-01-04_duration_56_days_cluster_393_A0_000699_A_000848_lat_05106_lon_-0049_size_0220,INTE2114774A__20201229__20201230,INTE2114774A,2020-11-09,2021-01-04,2020-12-29,2020-12-30,1,0,0.0013054830287206266,1.0,55,55.0,2,True
WD_MERGE_2019-11-25---2020-01-06_duration_42_days_cluster_354_A0_001418_A_001778_lat_04942_lon_-0006_size_0345,INTE2010310A__20191221__20191223,INTE2010310A,2019-11-25,2020-01-06,2019-12-21,2019-12-23,1,0,0.00048567265662943174,1.0,40,40.0,3,False
